original_code,original_name,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code
920,NATURSCHUTZFACHLICH WERTVOLLE PFLEGEFLÄCHE, VALUABLE ECOLOGIC PROTECTION AREA,not_known_and_other,3399000000,not_known_and_other,3399000000
351,LSE HECKE / UFERGEHÖLZ,(Protected Landscape Element) HEDGE / SHORE WOOD,tree_wood_forest,3306000000,tree_wood_forest,3306000000
959,20 JÄHRIGE STILLLEGUNG,20 YEAR SHUTDOWN,unmaintained,3308000000,unmaintained,3308000000
635,LUZERNE,ALFALFA,alfalfa_lucerne,3301090301,alfalfa_lucerne,3301090301
990,ALMFUTTERFLÄCHE,ALM FORAGE AREA,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
636,"WECHSELWIESE (EGART, ACKERWEIDE)",ALTERNATE MEADOW (EGART,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
758,AMARANTH,AMARANTH,amaranth,3301150100,amaranth,3301150100
813,MARILLEN,Apricots,apricots,3303010300,apricots,3303010300
773,BIENENTRACHTBRACHE,BEE FLOWER FALLOW,fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
691,RÜBENVERMEHRUNG,BEET PROPAGATION,beetroot_beets,3301290200,beetroot_beets,3301290200
207,BITTERLUPINEN,BITTER LUPINES,sweet_lupins,3301020700,sweet_lupins,3301020700
119,BUCHWEIZEN,BUCKWHEAT,buckwheat,3301150200,buckwheat,3301150200
689,LEINDOTTER,CAMELINA (Camelina sativa),camelina,3301061500,camelina,3301061500
120,KANARIENSAAT,CANARY SEED,canary_seed_canaryseed,3301011400,canary_seed_canaryseed,3301011400
812,KIRSCHEN,CHERRIES,cherry_cherries,3303010400,cherry_cherries,3303010400
623,KICHERERBSEN,CHICKPEAS,chickpeas,3301020200,chickpeas,3301020200
633,KLEE,CLOVER,clover,3301090303,clover,3301090303
