original_code,original_name,translated_name,HCAT3_name,HCAT3_code
201,Silomais,Silage maize,green_silo_maize,3301090400
321,Wintergerst,winter barley,winter_barley,3301010401
13,Niet nader omschreven gebouw,Building not specified,not_known_and_other,3399000000
9711,Meerjarige fruitteelten (peer),Perennial fruit crops (pear),orchards_fruits,3303010000
91,Suikerbieten,sugar beets,sugar_beet,3301290700
999,Niet nader omschreven gewas - kleine landbouwer,Unspecified crop - small farmer,not_known_and_other,3399000000
11,Stal,stable,not_known_and_other,3399000000
16,Ander gebouw,Other building,not_known_and_other,3399000000
202,Korrelmais,grain corn,grain_maize_corn_popcorn,3301010600
311,Wintertarwe,winter wheat,winter_common_soft_wheat,3301010101
9828,Natuurlijk grasland met minimumactiviteit,Natural grassland with minimum activity,pasture_meadow_grassland_grass,3302000000
71,Voederbieten,fodder beets,mangelwurzel_fodder_beet,3301290400
904,Aardappelen (geplande oogst voor 1/9),Potatoes (planned harvest for 1/9),potatoes,3301030000
63,Graskruiden mengsel,Grass herb mixture,pasture_meadow_grassland_grass,3302000000
9710,Meerjarige fruitteelten (appel),Perennial fruit crops (apple),apples,3303010200
98,Faunamengsel,Fauna mixture,not_known_and_other,3399000000
4,Houtkanten en houtwallen <= 10 m breed,Wooded edges and wooded banks <= 10 m wide,tree_wood_forest,3306000000
12,"Loods (bv. voor machines, opslag,â€¦)",Shed (e.g. for machines storage),not_known_and_other,3399000000
14,Woonhuis,Residential building,not_known_and_other,3399000000
60,Grasland,Grassland,pasture_meadow_grassland_grass,3302000000
9560,Boomkweek - bos- en haagplanten,Tree cultivation - forest and hedge plants,tree_wood_forest,3306000000
3,"Poelen <= 0,1 ha",Pools <= 0.1 ha,not_known_and_other,3399000000
901,Aardappelen (geplande oogst vanaf 1/9),Potatoes (planned harvest from 1/9),potatoes,3301030000
700,Grasklaver,grass clover,clover,3301090303
9831,Bloemenmengsel,Flower mixture,flowers_ornamental_plants,3301080000
8523,Bloemkool - industrie,Cauliflower - industry,cauliflower,3301210204
9516,Aardbeien,strawberries,strawberries,3301130000
35,Triticale,Triticale,triticale,3301010800
9538,Prei - vers,Leek - fresh,leek,3301220300
601,Zaaizaad grassen,Seed grasses,temporary_grass,3301090100
921,Vezelvlas (bestemd voor vezelproductie),Fiber flax (intended for fiber production),flax_linen,3301060701
951,Andere groenten - vers,Other vegetables - fresh,fresh_vegetables,3301070000
36,Spelt,Spelt,spelt,3301011000
8535,Wortel (niet-vroege) (consumptie) - industrie,Carrot (non-early) (consumption) - industry,carrots_daucus,3301290300
9725,"Meerjarige fruitteelten (zoete kers, laagstam)",Perennial fruit crops (sweet cherry,cherry_cherries,3303010400
8512,Spruitkool - industrie,Brussels sprouts - industry,brussels_sprouts,3301210203
6,Begraasde niet-landbouwgrond,grazed non-agricultural land,pasture_meadow_grassland_grass,3302000000
8410,Stamslabonen/sperziebonen - industrie,Standard green beans/green beans - industry,beans,3301020100
82,Braakliggend land met minimale activiteit zonder EAG,Derelict land with minimal activity without EAG,unmaintained,3308000000
732,Meerjarige luzerne,Perennial alfalfa,alfalfa_lucerne,3301090301
9829,Natuurlijk grasland zonder minimumactiviteit,Natural grassland with no minimum activity,pasture_meadow_grassland_grass,3302000000
9823,Weiland met niet-oogstbare bomen (> 100 bomen per ha),Pasture with non-harvestable trees (> 100 trees per ha),tree_wood_forest,3306000000
8514,Ajuinen (niet-vroege) - industrie,Onions (non-early) - industry,onions,3301220400
322,Zomergerst,summer barley,spring_barley,3301010402
9811,Cichorei (inuline),Chicory (inulin),chicory_chicories,3301310200
8538,Prei - industrie,Leek - industry,leek,3301220300
89,Braakliggend land met minimale activiteit met EAG,Derelict land with minimal activity with EAG,unmaintained,3308000000
9581,Laanbomen,avenue trees,tree_wood_forest,3306000000
832,Tuin- en veldbonen (Vicia faba) - industrie,Broad and field beans (Vicia faba) - industry,beans,3301020100
831,Erwten (andere dan droog geoogst) - industrie,Peas (other than dry harvested) - industry,legumes_harvested_green,3301090300
312,Zomertarwe,summer wheat,spring_common_soft_wheat,3301010102
8519,Spinazie - industrie,Spinach - industry,spinach,3301310800
9561,Witloofwortel,Chicory root,chicory_chicories,3301310200
15,Gebouw i.k.v. verbreding,Building i.c.v. widening,not_known_and_other,3399000000
902,Aardappelen (pootgoed),Potatoes (seed potatoes),potatoes,3301030000
81,Braakliggend land zonder minimale activiteit,Derelict land with no minimum activity,unmaintained,3308000000
9583,Bloeiende heesters,Flowering Shrubs,shrubberries_shrubs,3303080000
9523,Bloemkool - vers,Cauliflower - fresh,cauliflower,3301210204
9589,Niet-bloeiende heesters,Non-flowering shrubs,shrubberries_shrubs,3303080000
9580,Vaste planten,Perennials,permanent_crops_perennial,3303000000
9602,Boomkweek - fruitkweek,Tree cultivation - fruit cultivation,tree_wood_forest,3306000000
9714,Andere meerjarige fruitteelten,Other perennial fruit crops,orchards_fruits,3303010000
895,Bomen in groep,Group trees,tree_wood_forest,3306000000
331,Winterrogge,winter rye,winter_rye,3301010301
9511,Asperges - vers,Asparagus - fresh,asparagus,3301200000
745,Mengsel van gras en vlinderbloemigen (andere dan grasklaver of grasluzerne),Mixture of grass and leguminous plants (other than grass clover or grass alfalfa),pasture_meadow_grassland_grass,3302000000
9825,Heide in natuurbeheer,Heath in nature management,pasture_meadow_grassland_grass,3302000000
9570,Azalea,Azalea,azaleas,3303080100
962,Kerstbomen,Christmas trees,tree_wood_forest,3306000000
9716,Wijnstokken,Vines,vineyards_wine_vine_rebland_grapes,3303060000
9556,Pompoenen - vers,Pumpkins - fresh,pumpkin_squash_gourd,3301140400
9547,Potchrysanten,pot chrysanthemums,chrysanthemum,3301080900
9514,Ajuinen (niet vroege) - vers,Onions (not early) - fresh,onions,3301220400
9552,Tomaten - vers,Tomatoes - fresh,tomato,3301280000
8543,Knolselder - industrie,Celeriac - industry,celeriac,3301250100
9724,Aardbeiplanten,strawberry plants,strawberries,3301130000
9578,Perk- en balkonplanten,Bedding and balcony plants,flowers_ornamental_plants,3301080000
660,Grasluzerne,Grass alfalfa,alfalfa_lucerne,3301090301
4111,Winterkoolzaad,winter rapeseed,winter_rapeseed_rape,3301060401
9565,Jongplanten voor de sierteelt,Young plants for floriculture,flowers_ornamental_plants,3301080000
9541,Courgettes - vers,Zucchini - fresh,zucchini_courgette,3301140600
8910,Bebossing loofbomen-ecologisch,Afforestation deciduous trees-ecological,afforestation_reforestation,3306010000
52,Tuin- en veldbonen (niet voor menselijke consumptie),Broad and field beans (not for human consumption),beans,3301020100
9827,Weiland met oogstbare hoogstam bomen (> 100 bomen/ha),Pasture with harvestable standard trees (> 100 trees/ha),tree_wood_forest,3306000000
342,Zomerhaver,summer oats,spring_oats,3301010502
9557,Andere alternatieve slasoorten - vers,Other alternative lettuce varieties - fresh,salads_lettuce_leaf_vegetables,3301310000
955,Graszoden,Grass Turf,sod_turf,3301090207
9717,Frambozen,raspberries,raspberry_raspberries,3303021000
8533,Schorseneer - industrie,Salsify - industry,salsify,3301084000
9515,Witloof (forcerie) - vers,Chicory (forcery) - fresh,chicory_chicories,3301310200
9718,Rode bessen,Redcurrant,redcurrant,3303021100
8411,Snijbonen - industrie,String beans - industry,beans,3301020100
9727,Meerjarige fruitteelten (zure kers),Perennial fruit crops (sour cherry),cherry_cherries,3303010400
646,Tagetes (Afrikaantje),Tagetes (marigold),tagetes,3301084700
9518,Kropsla - vers,head lettuce - fresh,salads_lettuce_leaf_vegetables,3301310000
8563,Ajuinen (vroege) - industrie,Onions (early) - industry,onions,3301220400
9512,Spruitkool - vers,Brussels sprouts - fresh,brussels_sprouts,3301210203
9546,Savooikool - vers,Savoy cabbage - fresh,savoy_cabbage,3301210211
9540,Witte kool - vers,White cabbage - fresh,white_cabbage,3301210212
647,Andere niet-vlinderbloemige groenbedekker,Other non-flowery green cover plants,flowers_ornamental_plants,3301080000
96,Niet-eetbare tuinbouwgewassen,Non-edible horticultural crops,industrial_nonfood_crops,3301060000
9832,Bloemenmengsel voor EAG Braak,Flower mixture for EAG Braak,flowers_ornamental_plants,3301080000
9410,Stamslabonen/sperziebonen - vers,Green beans/green beans - fresh,beans,3301020100
956,Andere kruiden - vers,Other herbs - fresh,aromatic_medicinal_culinary_plants_spices_herbs,3301061200
604,Zaaizaad olie- en vezelhoudende planten,Seed oil and fiber plants,fibre_crops,3301061100
9722,Blauwe bessen,Blueberries,blueberry,3303020400
