original_name,original_code,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code
Froment d?'hiver,,Winter wheat,winter_common_soft_wheat,3301010101,winter_common_soft_wheat,3301010101
Froment d'hiver,311,Winter wheat,winter_common_soft_wheat,3301010101,winter_common_soft_wheat,3301010101
Froment d’hiver,,Winter wheat,winter_common_soft_wheat,3301010101,winter_common_soft_wheat,3301010101
Froment de printemps,312,Spring wheat,spring_common_soft_wheat,3301010102,summer_common_soft_wheat,3301010103
Seigle d?'hiver,,Winter rye,winter_rye,3301010301,winter_rye,3301010301
Seigle d'hiver,,Winter rye,winter_rye,3301010301,winter_rye,3301010301
Seigle d’hiver,331,Winter rye,winter_rye,3301010301,winter_rye,3301010301
Seigle de printemps,332,Spring rye,spring_rye,3301010302,spring_rye,3301010302
Orge de brasserie,323,Malting barley,barley,3301010400,unspecified_season_barley,3301010499
Orge de brasserie ,,Malting barley,barley,3301010400,unspecified_season_barley,3301010499
Orge d?'hiver ,,Winter barley,winter_barley,3301010401,winter_barley,3301010401
Orge d'?hiver ,,Winter barley,winter_barley,3301010401,winter_barley,3301010401
Orge d'hiver,321,Winter barley,winter_barley,3301010401,winter_barley,3301010401
Orge d’hiver,,Winter barley,winter_barley,3301010401,winter_barley,3301010401
Orge d'hiver ,,Winter barley,winter_barley,3301010401,winter_barley,3301010401
Orge d’hiver ,,Winter barley,winter_barley,3301010401,winter_barley,3301010401
Orge de printemps,322,Spring barley,spring_barley,3301010402,spring_barley,3301010402
Orge de printemps ,,Spring barley,spring_barley,3301010402,spring_barley,3301010402
Avoine,,Oats,oats,3301010500,unspecified_season_oats,3301010599
Avoine d'hiver,341,Winter oats,winter_oats,3301010501,winter_oats,3301010501
Avoine de printemps,342,Spring oats,spring_oats,3301010502,spring_oats,3301010502
Maïs grain,202,Grain corn,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
Triticale d'hiver,,Winter triticale,winter_triticale,3301010801,winter_triticale,3301010801
Triticale de printemps,,Spring triticale,spring_triticale,3301010802,spring_triticale,3301010802
Sorgho,381,Sorghum,millet_sorghum,3301010900,millet_sorghum,3301010900
Epeautre,,Spelt,spelt,3301011000,unspecified_season_spelt,3301011099
Epeautre d'hiver,36,Winter spelt,winter_spelt,3301011001,winter_spelt,3301011001
Epeautre de printemps,,Spring spelt,spring_spelt,3301011002,spring_spelt,3301011002
Petit épeautre,,Einkorn,einkorn,3301011300,einkorn,3301011300
Céréales ET légumineuses,,Cereals AND pulses,cereal,3301010000,unspecified_cereals,3301011500
Céréales et légumineuses,39,Cereals and legumes,cereal,3301010000,unspecified_cereals,3301011500
Mélange de céréales d'hiver ( plus de 50%) et de  légumineuses (plus de 20%),,Mixture of winter cereals (over 50%) and legumes (over 20%),winter_unspecified_cereals,3301011501,winter_unspecified_cereals,3301011501
Mélange de céréales d'hiver uniquement,,Mixture of winter cereals only,winter_unspecified_cereals,3301011501,winter_unspecified_cereals,3301011501
Mélange de céréales de printemps ( plus de 50%) et de  légumineuses (plus de 20%),,Mixture of spring cereals (over 50%) and legumes (over 20%),spring_unspecified_cereals,3301011502,spring_unspecified_cereals,3301011502
Mélange de céréales de printemps uniquement,,Mixture of spring cereals only,spring_unspecified_cereals,3301011502,spring_unspecified_cereals,3301011502
Autres protéagineux,,Other protein crops,legumes_dried_pulses_protein_crops,3301020000,legumes_dried_pulses_protein_crops,3301020000
Légume légumineuse,,Leguminous vegetable,legumes_dried_pulses_protein_crops,3301020000,legumes_dried_pulses_protein_crops,3301020000
Mélange protéagineux (culture principale) & céréales,,Protein crop mix (main crop) & cereals,legumes_dried_pulses_protein_crops,3301020000,legumes_dried_pulses_protein_crops,3301020000
Mélange protéagineux d'hiver + céréales ou autres espèces,,Winter protein crop mix + cereals or other species,legumes_dried_pulses_protein_crops,3301020000,legumes_dried_pulses_protein_crops,3301020000
Mélange protéagineux de printemps + céréales ou autres espèces,,Spring protein crop mix + cereals or other species,legumes_dried_pulses_protein_crops,3301020000,legumes_dried_pulses_protein_crops,3301020000
Fèves et Féveroles d'hiver,,Winter Broad Beans,beans,3301020100,beans,3301020100
Fèves et Féveroles de printemps,,Spring Broad Beans,beans,3301020100,beans,3301020100
Haricots,9410,Beans,beans,3301020100,beans,3301020100
Haricots de conserverie,,Canning beans,beans,3301020100,beans,3301020100
Haricots nains (p. ex. haricots rouges) pour consommation en produit frais,,Dwarf beans (e.g. kidney beans) for consumption as fresh product,beans,3301020100,beans,3301020100
Haricots verts (transformation industrielle),,Green beans (industrial processing),beans,3301020100,beans,3301020100
Haricots verts pour l’industrie,,Green beans for industry,beans,3301020100,beans,3301020100
Pois (autres que récoltés secs) (transformation industrielle),,Peas (other than harvested dry) (industrial processing),peas,3301020600,peas,3301020600
Pois (autres que récoltés secs) pour l’industrie,,Peas (other than harvested dry) for industry,peas,3301020600,peas,3301020600
Pois protéagineux,,Protein peas,peas,3301020600,peas,3301020600
Pois protéagineux d?'hiver,,Winter protein peas,peas,3301020600,peas,3301020600
Pois protéagineux d'?hiver,,Winter protein peas,peas,3301020600,peas,3301020600
Pois protéagineux d'hiver,,Winter protein peas,peas,3301020600,peas,3301020600
Pois protéagineux d’hiver,,Winter protein peas,peas,3301020600,peas,3301020600
Pois protéagineux de printemps ,,Spring protein peas ,peas,3301020600,peas,3301020600
"Pois récoltés à l'état frais, pois de conserverie",931,"Peas harvested fresh,canning peas",peas,3301020600,peas,3301020600
Lupin doux,53,Sweet lupine,sweet_lupins,3301020700,sweet_lupins,3301020700
Pomme de terre (arrachage avant le 1er août),,Potatoes (uprooted before August 1),potatoes,3301030000,potatoes,3301030000
Pomme de terre (non hâtives),901,Potato (not early),potatoes,3301030000,potatoes,3301030000
Pomme de terre (plants),902,Potato (plants),potatoes,3301030000,potatoes,3301030000
"Pomme de terre (primeur, arrachage avant le 20 juin)",,"Potatoes (early, harvested before June 20)",potatoes,3301030000,potatoes,3301030000
Pomme de terre féculière,,Starch potato,potatoes,3301030000,potatoes,3301030000
Pomme de terre hâtives ,,Early potatoes ,potatoes,3301030000,potatoes,3301030000
Autres fourrages,743,Other fodder,fodder_roots,3301050000,fodder_roots,3301050000
Navets fourragers,746,Foraged turnips,fodder_roots,3301050000,fodder_roots,3301050000
Cultures horticoles non-comestibles,96,Non-edible horticultural crops,industrial_nonfood_crops,3301060000,industrial_nonfood_crops,3301060000
Tabac,9821,Tobacco,tobacco,3301060100,tobacco,3301060100
Houblon,9822,Hop,hops,3301060200,hops,3301060200
Colza d?'hiver,,Winter rapeseed,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401
Colza d'?hiver,,Winter rapeseed,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401
Colza d'hiver,4111,Winter rapeseed,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401
Colza d’hiver,,Winter rapeseed,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401
Colza de printemps,4121,Spring rapeseed,spring_rapeseed_rape,3301060402,spring_rapeseed_rape,3301060402
Tournesol,42,Sunflower,sunflower,3301060500,sunflower,3301060500
Lin textile,921,Textile linen,flax_linen,3301060701,flax_linen,3301060701
Lin oléagineux,45,Oilseed flax,flax_linseed_oil,3301060702,flax_linseed_oil,3301060702
Autres oléagineux,,Other oilseeds,oilseed_crops,3301060800,oilseed_crops,3301060800
Autres oléagineux ,,Other oilseeds,oilseed_crops,3301060800,oilseed_crops,3301060800
Chanvre non textile (culture soumise à autorisation préalable au semis),872,Non-textile hemp (crop subject to prior authorization for sowing),hemp_cannabis,3301061000,hemp_cannabis,3301061000
Chanvre textile,,Hemp textile,hemp_cannabis,3301061000,hemp_cannabis,3301061000
Chanvre textile (culture soumise à autorisation préalable au semis),922,Textile hemp (crop subject to prior authorization for sowing),hemp_cannabis,3301061000,hemp_cannabis,3301061000
Plantes aromatiques,,Aromatic plants,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,aromatic_medicinal_culinary_plants_spices_herbs,3301061200
Plantes médicinales,957,Medicinal plants,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,aromatic_medicinal_culinary_plants_spices_herbs,3301061200
Angélique,,Angelica,angelica,3301061204,angelica,3301061204
Cerfeuil (consommation au frais),,Chervil (store in a cool place),chervil,3301061214,chervil,3301061214
Cerfeuil (transformation industrielle),,Chervil (industrial processing),chervil,3301061214,chervil,3301061214
Cerfeuil pour consommation en produit frais,,Chervil for fresh consumption,chervil,3301061214,chervil,3301061214
Cerfeuil pour l’industrie,,Chervil for industry,chervil,3301061214,chervil,3301061214
Ortie,,Nettle,nettles,3301061225,nettles,3301061225
Ortie ,,Nettle,nettles,3301061225,nettles,3301061225
Persil,959,Parsley,parsly,3301061227,parsly,3301061227
Persil (consommation au frais),,Parsley (store in a cool place),parsly,3301061227,parsly,3301061227
Persil (transformation industrielle),,Parsley (industrial processing),parsly,3301061227,parsly,3301061227
Persil à grosse racine,961,Parsley root,parsly,3301061227,parsly,3301061227
Persil pour consommation en produit frais,,Parsley for fresh consumption,parsly,3301061227,parsly,3301061227
Persil pour l’industrie,,Parsley for industry,parsly,3301061227,parsly,3301061227
Sainfoin (Onobrychis sativa),,Sainfoin,onobrychis_sainfoins,3301061600,onobrychis_sainfoins,3301061600
Autres légumes,,Other vegetables,fresh_vegetables,3301070000,fresh_vegetables,3301070000
Autres légumes de plein air,951,Other outdoor vegetables,fresh_vegetables,3301070000,fresh_vegetables,3301070000
Autres plantes ornementales,,Other ornamental plants,flowers_ornamental_plants,3301080000,flowers_ornamental_plants,3301080000
Autres plantes ornementales de plein air,,Other outdoor ornamental plants,flowers_ornamental_plants,3301080000,flowers_ornamental_plants,3301080000
Plantes ornementales d'hiver,,Winter ornamentals,flowers_ornamental_plants,3301080000,flowers_ornamental_plants,3301080000
Plantes ornementales rustiques,,Hardy ornamental plants,flowers_ornamental_plants,3301080000,flowers_ornamental_plants,3301080000
Miscanthus,884,Miscanthus,miscanthus_silvergrass,3301083000,miscanthus_silvergrass,3301083000
Scorsonère,9533,black salsify ,salsify,3301084000,salsify,3301084000
Scorsonère pour l’industrie,,black salsify for industry ,salsify,3301084000,salsify,3301084000
Silphie,,Cup plant,silphium_rosinweeds,3301084400,silphium_rosinweeds,3301084400
Mélange d'hiver de légumineuses prépondérantes  (plus de 50%) et de céréales ou autres espèces,541,Winter mixture of predominant legumes (more than 50%) and cereals or other species,legumes_harvested_green,3301090300,legumes_harvested_green,3301090300
Mélange de printemps de légumineuses prépondérantes  (plus de 50%) et  de céréales ou autres espèces,542,Spring mixture of predominant legumes (more than 50%) and cereals or other species,legumes_harvested_green,3301090300,legumes_harvested_green,3301090300
Mélange légumineuses fourragères + céréales ou autres espèces,,Mixture of forage legumes + cereals or other species,legumes_harvested_green,3301090300,legumes_harvested_green,3301090300
Luzerne,,Alfalfa,alfalfa_lucerne,3301090301,alfalfa_lucerne,3301090301
Luzerne lupuline ,,Lupuline alfalfa ,alfalfa_lucerne,3301090301,alfalfa_lucerne,3301090301
Luzerne pérenne,,Perennial alfalfa,alfalfa_lucerne,3301090301,alfalfa_lucerne,3301090301
Trèfles,,Clover,clover,3301090303,clover,3301090303
Maïs ensilage,201,Corn silage,green_silo_maize,3301090400,green_silo_maize,3301090400
Jachère,,Fallow land,fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
"Jachère Fauche, pâturage - Dérogation SIE",,"Fallow Mowing, grazing - SIE exemption",fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
Jachère Légumineuses - Dérogation SIE,,Leguminous fallow - SIE exemption,fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
