original_code,original_name,translated_name,HCAT3_name,HCAT3_code
48,Mischung Mais/Bohne,Corn / bean mixture,grain_maize_corn_popcorn,3301010600
49,Blühmischung für Biogas,Flowering mixture for biogas,flowers_ornamental_plants,3301080000
50,Mischkulturen mit Saatgutmischung,Mixed cultures with seed mix,arable_land_seed_seedlings,3301100000
51,Mischkulturen in Reihenanbau,Mixed crops in rows,other_arable_land_crops,3301990000
52,Zwischenfrucht / Gründecke ÖVF,Intercrop / groundcover,other_arable_land_crops,3301990000
53,Untersaat ÖVF,Undersowing ÖVF,arable_land_seed_seedlings,3301100000
54,Streifen am Waldrand (Ohne Produktion) ÖVF,Strip at the edge of the forest (Without production) ÖVF,tree_wood_forest,3306000000
55,Ufervegetation ÖVF,Riparian vegetation,not_known_and_other,3399000000
56,ÖVF-Streifen AL,Ecological Preferance Area strips AL,not_known_and_other,3399000000
57,Feldrand / Pufferstreifen ÖVF DGL,Buffer strips ecological preference zones permanent grassland,pasture_meadow_grassland_grass,3302000000
58,Feldrand / Puferstreifen ÖVF AL,Buffer strips ecological preference zones permanent grassland,pasture_meadow_grassland_grass,3302000000
59,KuP ÖVF,Priority ecological areas short rotation plants,not_known_and_other,3399000000
60,Leguminosen ÖVF,Legumes ÖVF,legumes_dried_pulses_protein_crops,3301020000
61,Aufforstungsflächen ÖVF,Afforestation areas ÖVF,afforestation_reforestation,3306010000
62,Brachen Ohne Erzeugung ÖVF,Fallow land Without production ÖVF,fallow_land_not_crop,3301110000
63,Miscanthus,silvergrass,miscanthus_silvergrass,3301083000
64,Durchwachsene Silphie,cup plant,silphium_rosinweeds,3301084400
65,brachliegende Flächen öVF Honigpflanzen (pollen- und nektarreiche Arten) -einjährig,fallow land öVF honey plants (species rich in pollen and nectar) -annual,fallow_land_not_crop,3301110000
66,brachliegende Flächen öVF Honigpflanzen (pollen- und nektarreiche Arten) -mehrjährig,fallow land öVF honey plants (species rich in pollen and nectar) -perennial,fallow_land_not_crop,3301110000
70,Hecken Oder Knicks > 10m CC,Hedges Or Knicks > 10m CC,not_known_and_other,3399000000
71,Baumreihe >50m CC,Tree row >50m CC,tree_wood_forest,3306000000
72,Feldgehölze 50-2.000 rn2 CC,"Field groves 50-2,000 rn2 CC",tree_wood_forest,3306000000
73,Feuchtgebiete < 2.000 m2 CC,"Wetlands < 2,000 m2 CC",not_known_and_other,3399000000
74,Einzelbäume CC,Single trees CC,tree_wood_forest,3306000000
75,Tümpel Sölle und Doline CC,Ponds sinkholes and doline CC,not_known_and_other,3399000000
76,"Natur-, Stein- Oder Trockenmauer CC","Natural, stone or dry stone wall CC",not_known_and_other,3399000000
77,"Fels- und Steinriegel, naturversteinte Fläche CC","Rock and stone bar, natural petrified area CC",not_known_and_other,3399000000
78,Feldraine CC,Field margins CC,not_known_and_other,3399000000
79,"Trocken-, Be- und Entwässerungsgräben CC","Dry, irrigation and drainage ditches CC",not_known_and_other,3399000000
80,Terrassen CC,Terraces CC,not_known_and_other,3399000000
112,Winterhartweizen/Durum,Winter hard wheat / durum,winter_durum_hard_wheat,3301010201
113,Sommerhartweizen/Durum,Summer durum wheat / durum,spring_durum_hard_wheat,3301010202
114,Winter-Dinkel,Winter spelt,winter_spelt,3301011001
115,Winterweichweizen,Winter soft wheat,winter_common_soft_wheat,3301010101
116,Sommerweichweizen,summer wheat/Summer soft wheat,spring_common_soft_wheat,3301010102
118,Winter-Emmer/-Einkorn,Winter emmer / single grain/Winter emmer / Einkorn,winter_emmer,3301011201
119,Sommer-Emmer/-Einkom,Summer emmer / single grain/Summer emmer / Einkorn,spring_emmer,3301011202
