original_code,original_name_branden,original_name_DE,translated_name,HCAT3_name,HCAT3_code
1,Hecken oder Knicks (> 20m) CC,,Hedges or curtsies (> 20m) CC,not_known_and_other,3399000000
2,Baumreihen (> 50m) CC,,Tree rows (> 50m) CC,other_tree_wood_forest,3306990000
3,Feldgehölze (100 - 2.000m²) CC,,field trees (100 - 2.000m) CC,other_tree_wood_forest,3306990000
4,Feuchtgebiete (< 2.000m²) CC,,wetland (< 2.000m) CC,not_known_and_other,3399000000
5,Keine Nutzung,,not used,not_known_and_other,3399000000
7,Parkplatz,,parking space,not_known_and_other,3399000000
8,Spargel unter Folie,,asparagus under foil,greenhouse_foil_film,3305000000
11,"Naturstein- o. Trockenmauern, Lesesteinwälle",,"Natural stone or dry stone walls, reading stone walls",not_known_and_other,3399000000
12,"Fels- u. Steinriegel, naturversteinte Fl.",,"Rock & stone bars, natural petrified fl.",not_known_and_other,3399000000
13,Feldraine,,Field margins,not_known_and_other,3399000000
14,Gewässerschutz-/Uferrandstreifen AUKM,,Water protection/riparian strips AUKM,not_known_and_other,3399000000
83,Agroforststreifen ohne ÖR,,Agroforestry strips without ÖR,not_known_and_other,3399000000
88,ÖR 1a ohne Produktion (Selbst-/Begrünung),,ÖR 1a without production (self-greening/greening),fallow_land_not_crop,3301110000
89,ÖR 1b Blühstreifen auf AL,,ÖR 1b Flowering strips on AL,flowers_ornamental_plants,3301080000
90,ÖR 1b Blühfläche auf AL,,ÖR 1b Flowering area on AL,flowers_ornamental_plants,3301080000
91,ÖR 1c Blühstreifen auf DK,,ÖR 1c Flowering strips on DK,flowers_ornamental_plants,3301080000
92,ÖR 1c Blühfläche auf DK,,ÖR 1c Flowering area on DK,flowers_ornamental_plants,3301080000
93,ÖR 1d Altgrasstreifen / -flächen,,ÖR 1d Old grass strips / areas,pasture_meadow_grassland_grass,3302000000
94,ÖR 3 Agroforststreifen,,ÖR 3 Agroforestry strips,not_known_and_other,3399000000
112,Winterdurum (Hartweizen),Winterhartweizen/Durum,Winter hard wheat / durum,winter_durum_hard_wheat,3301010201
113,Sommerdurum (Hartweizen),Sommerhartweizen/Durum,Summer durum wheat / durum,spring_durum_hard_wheat,3301010202
114,Winter-Dinkel,Winter-Dinkel,Winter spelt,winter_spelt,3301011001
115,Winterweichweizen,Winterweichweizen,Winter soft wheat,winter_common_soft_wheat,3301010101
116,Sommerweichweizen,Sommerweichweizen,summer wheat/Summer soft wheat,spring_common_soft_wheat,3301010102
118,Winter-Emmer/-Einkorn,Winter-Emmer/-Einkorn,Winter emmer / single grain/Winter emmer / Einkorn,winter_emmer,3301011201
119,Sommer-Emmer/-Einkorn,Sommer-Emmer/-Einkom,Summer emmer / single grain/Summer emmer / Einkorn,spring_emmer,3301011202
120,Sommer-Dinkel,Sommer-Dinkel,Summer spelt,spring_spelt,3301011002
121,"Winterroggen, Winter-Waldstaudenroggen","Winterroggen, Winter-Waldstaudenroggen",Winter rye,winter_rye,3301010301
122,"Sommerroggen, Sommer-Waldstaudenroggen","Sommerroggen, Sommer-Waldstaudenroggen",Summer rye,spring_rye,3301010302
125,Wintermenggetreide,Wintermenggetreide,Winter mixed grain,winter_unspecified_cereals,3301011501
131,Wintergerste,Wintergerste,Winter barley,winter_barley,3301010401
132,Sommergerste,Sommergerste,Summer barley,spring_barley,3301010402
142,Winterhafer,Winterhafer,Winter oats,winter_oats,3301010501
143,Sommerhafer,Sommerhafer,Summer oats,spring_oats,3301010502
144,Sommermenggetreide,Sommermenggetreide,Summer mixed grain,spring_unspecified_cereals,3301011502
150,Gemenge Getreide/Leguminose (Getreide überwiegt),,Mixture cereals/legumes,legumes_dried_pulses_protein_crops,3301020000
156,Wintertriticale,Wintertriticale,Winter triticale,winter_triticale,3301010801
157,Sommertriticale,Sommertriticale,Summer triticale,spring_triticale,3301010802
171,Mais (ohne Silomais NC 411),Mais (ohne Silomais NC 411 ),Corn without silage maize,grain_maize_corn_popcorn,3301010600
181,Rispenhirse,Rispenhirse,Millet/Millet (Panicum),millet_sorghum,3301010900
182,Buchweizen,Buchweizen,Buckwheat,buckwheat,3301150200
183,Mohren-/Zuckerhirse (ohne Sudangras NC 803),Mohren-Zuckerhirse (ohne Sudangras NC 803),Sorghum,millet_sorghum,3301010900
184,Kolbenhirse,Kolbenhirse,Millet,millet_sorghum,3301010900
186,"Amarant, Fuchsschwanz","Amarant, Fuchsschwanz",amaranth,amaranth,3301150100
187,Quinoa,Quinoa,Quinoa,quinoa,3301150300
210,"Erbsen (Mark-, Schal-, Zucker-, Futtererbse, Peluschke)","Erbsen (Markerbse, Schalerbse, Zuckererbse, Futtererbse, Peluschke",Peas (fresh / table peas free range)/Peas for grain production,peas,3301020600
211,"Gemüseerbse (Markerbse, Schalerbse, Zuckererbse)","Gemüseerbse (Markerbse, Schalerbse, Zuckererbse)",Vegetable pea (marrow pea/Vegetable pea,peas,3301020600
212,Platterbse,Platterbse,Flat pea,peas,3301020600
220,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Field bean / broad bean / horse bean / broad bean/Field / broad / horse bean,beans,3301020100
221,"Wicken (Pannonische Wicke, Zottelwicke, Saatwicke)","Wicken (Pannonische Wicke, Zottelwicke, Saatwicke)",Vetches,vetches,3301090305
222,Linsen,Dicke Bohne,lentils,lentils,3301020500
230,"Lupinen (Süßlupine, weiße Lupine, ...)","Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine, geIbe Lupine, Anden-Lupine",Lupins (sweet lupine/Lupins,sweet_lupins,3301020700
240,Erbsen/Bohnen,Erbsen/Bohnen,Peas beans/Mixed peas / beans,legumes_dried_pulses_protein_crops,3301020000
250,Gemenge Leguminose/Getreide (Leguminose überwiegt),Gemenge Leguminosen/Getreide,Mixture of legumes / grain,legumes_dried_pulses_protein_crops,3301020000
311,Winterraps,Winterraps,Winter rape,winter_rapeseed_rape,3301060401
312,Sommerraps,Sommerraps,Summer rape,summer_rapeseed_rape,3301060403
315,"Winterrübsen (Rübsen, Rübsamen, Rübsaat)","Winterrübsen (Rübsen, Rübsamen, Rübsaat)",Winter rape (oil radish/Winter turnip rape (also rapeseed),winter_rapeseed_rape,3301060401
320,Sonnenblumen,Sonnenblumen,sunflowers,sunflower,3301060500
330,Sojabohnen,Sojabohnen,Soybeans,soy_soybeans,3301160000
341,"Lein, Flachs","Lein, Flachs",Flax/Flax (flax linseed),flax_linen,3301060700
393,Leindotter,Leindotter,Camelina,camelina,3301061500
411,Silomais (als Hauptfutter),Silomais (als Hauptfutter),Silage maize (as staple feed),green_silo_maize,3301090400
413,Futterrübe/Runkelrübe,Futterrübe/Runkelrübe,Fodder beet / beetroot,mangelwurzel_fodder_beet,3301290400
421,Klee: Rot/Weiß/Alexandriner/Inkarnat/Erd/Schweden/Persischer,Rot-/Weiß-/Alexandriner-/lnkarnat-/Erd-/Schweden-/Persischer Klee,Clover (nitrogen-fixing plant VF)/different types of clover,clover,3301090303
422,Kleegras,Kleegras,Clover grass,clover,3301090303
423,"Luzerne, Hopfenklee/Gelbklee, Bastardluzerne/Sandluzerne","Luzerne, Hopfenklee/Gelbklee, Bastardluzerne/Sandluzerne",alfalfa,alfalfa_lucerne,3301090301
424,Ackergras,Ackergras,Arable grass,pasture_meadow_grassland_grass,3302000000
425,Klee-Luzerne-Gemisch,Klee-Luzerne-Gemisch,Clover and alfalfa mixture,clover,3301090303
429,Esparsette,Esparsette,Esparsette,esparsette_onobrychis,3301020300
430,Serradella,Serradella,serradella,serradella,3301084200
431,Steinklee,Steinklee,Sweet clover,clover,3301090303
432,"Kleemischung aus NC 421, 427, 431 (stickstoffbindend)","Kleemischung aus NC 421, 427, 431 (stickstoffbindend)",Clover mixture from NC 421/Clover mixture (or box horn clover),clover,3301090303
433,Luzerne-Gras,Luzerne-Gras,Alfalfa grass/Alfalfa-grass mixture,alfalfa_lucerne,3301090301
434,Gras-Leguminosen Gemisch (Leguminosen überwiegt),,Grass-legume mixture,legumes_dried_pulses_protein_crops,3301020000
441,Wiesen (Grünlandneueinsaat im Rahmen von AUKM),Wiesen (Grünlandneueinsaat im Rahmen von AUKM),Meadows (grassland reseeding under AUKM),pasture_meadow_grassland_grass,3302000000
444,DGL Neueinsaat als Ersatz für genehmigten DGL Umbruch,DGL Neueinsaat als Ersatz für genehmigten DGL Umbruch,DGL new sowing as a replacement for approved DGL plowing,other_arable_land_crops,3301990000
451,Wiesen,Wiesen,grasslands,pasture_meadow_grassland_grass,3302000000
452,Mähweiden,Mähweiden,Mowing pastures,pasture_meadow_grassland_grass,3302000000
453,Weiden und Almen,Weiden und Almen,Pastures and alpine pastures,pasture_meadow_grassland_grass,3302000000
454,Hutungen,Hutungen,low-yield permanent grassland,pasture_meadow_grassland_grass,3302000000
458,Streuwiesen,Streuwiesen,Scattered meadows,pasture_meadow_grassland_grass,3302000000
459,Grünland,Grünland,Grassland (permanent grassland),pasture_meadow_grassland_grass,3302000000
480,Streuobstfläche mit Grünlandnutzung,Streuobstfläche mit Grünlandnutzung,Orchards with grassland use/Orchards with Permanent grassland use,orchards_fruits,3303010000
492,DGL unter etablierten lok. Prakt. (Z.B. Heide),Dauergrünland unter etablierten lokalen Praktiken (z.B. Heide),Permanent grassland under established local practices (e.g. heather)/established local practices,pasture_meadow_grassland_grass,3302000000
545,Stilllegung nach FELEG/GAL/ALG,Stilllegung nach FELEG/GAUALG,Decommissioning according to FELEG/GAUALG,unmaintained,3308000000
564,"nach VO 1257/1999, 1698/2005 o. 1305/2013 aufgeforstete Fl.",nach VO 1257/1999 oder VO (EG) Nr. 1698/2005 oder VO 1305/2013 aufgeforstete Flächen,Areas afforested according to VO 1257/1999 or VO (EG) No. 1698/2005 or VO 1305/2013/Afforestation in rural areas,afforestation_reforestation,3306010000
583,"Nicht lw. Fl., förderf. §11 (1) Nr. 3d GAPDZV","Nicht landwirtschaftliche, aber nach Art. 32(2b (i)) der VO (EG) Nr.1307/2013 beihilfefähige Fläche Naturschutzfiächen die 2008",Not agricultural/Nature conservation (1307 / 2013-32-2bi),not_known_and_other,3399000000
586,"Nicht lw. Fl., förderf. §11 (1) Nr. 3b GAPDZV Paludi",Heckenpflanzung Erosionsschutz,Hedge planting erosion control,not_known_and_other,3399000000
591,Ackerland aus der Erzeugung genommen,Ackerland aus der Erzeugung genommen iSd. Art. 4 Abs. 1 Buchst. c) ii) VO 1307/2013,Arable land withdrawn from production (self-greening)/AL taken from generation,unmaintained,3308000000
592,Dauergrünland aus der Erzeugung genommen,Dauergrünland aus der Erzeugung genommen iSd. Art. 4 Abs. Buchst. c) ii) VO 1307/2013,Permanent grassland withdrawn from production within the meaning of Art. 4 para. 1 letter c) ii) Regulation 1307/2013/Permanent grass land suspendet from production,pasture_meadow_grassland_grass,3302000000
601,Stärkekartoffeln,Stärkekartoffeln,Starch potatoes and other potatoes,potatoes,3301030000
602,Kartoffeln (Speise),Kartoffeln (Speise),Potatoes (food)/potatoes,potatoes,3301030000
603,Zuckerrüben,Zuckerrüben,Sugar beet,sugar_beet,3301290700
