original_code,original_name,translated_name,HCAT2_name,HCAT2_code
452,Mähweiden,Mowing pastures,pasture_meadow_grassland_grass,3302000000
411,Silomais (als Hauptfutter),Silage maize (as staple feed),green_silo_maize,3301090400
115,Winterweichweizen,Winter soft wheat,winter_common_soft_wheat,3301010101
121,Winterroggen,Winter rye,winter_rye,3301010301
451,Wiesen,grasslands,pasture_meadow_grassland_grass,3302000000
131,Wintergerste,Winter barley,winter_barley,3301010401
172,Mais (Biogas),Corn (biogas),grain_maize_corn_popcorn,3301010600
591,Ackerland aus der Erzeugung genommen (Selbstbegrünung),Arable land withdrawn from production (self-greening),unmaintained,3308000000
424,Ackergras,Arable grass,pasture_meadow_grassland_grass,3302000000
171,Körnermais einschl. CCM/Mais,Grain maize including CCM / maize,grain_maize_corn_popcorn,3301010600
575,Blühfläche (nur für Flächen mit AUM-BS 1 zu verwenden),Flowering area (only to be used for areas with AUM-BS 1),flowers_ornamental_plants,3301080000
311,Winterraps,Winter rape,winter_rapeseed_rape,3301060401
603,Zuckerrüben,Sugar beet,sugar_beet,3301290700
601,Stärkekartoffeln und andere Kartoffeln,Starch potatoes and other potatoes,potatoes,3301030000
453,Weiden und Almen,Pastures and alpine pastures,pasture_meadow_grassland_grass,3302000000
156,Wintertriticale,Winter triticale,winter_triticale,3301010801
444,DGL Neueinsaat als Ersatz für genehmigten DGL Umbruch,DGL new sowing as a replacement for approved DGL plowing,other_arable_land_crops,3301990000
132,Sommergerste,Summer barley,summer_barley,3301010403
602,Kartoffeln (Speise),Potatoes (food),potatoes,3301030000
574,Blühstreifen (nur für Flächen mit AUM-BS 1 zu verwenden),Flower strips (only to be used for areas with AUM-BS 1),flowers_ornamental_plants,3301080000
143,Sommerhafer,Summer oats,summer_oats,3301010503
594,einjährige Honigpflanzen (AL aus der Erzeugung genommen),annual honey plants (AL withdrawn from production),unmaintained,3308000000
422,Kleegras,Clover grass,pasture_meadow_grassland_grass,3302000000
825,"Kernobst z.B. Äpfel, Birnen",Pome fruit e.g. apples,orchards_fruits,3303010000
996,"Unbefest. Mieten-, Stroh-, Futter und Dunglagerplätze auf AL",Unsecured Rent,not_known_and_other,3399000000
428,Wechselgrünland,Alternating grassland,pasture_meadow_grassland_grass,3302000000
910,Wildäsungsfläche,Deforestation area,not_known_and_other,3399000000
454,Hutungen,low-yield permanent grassland,pasture_meadow_grassland_grass,3302000000
112,Winterhartweizen/Durum,Winter hard wheat / durum,winter_durum_hard_wheat,3301010201
838,"Baumschulen, nicht für Beerenobst",Nurseries,nurseries_nursery,3303070000
994,"Vorübergehende, unbefestigte Mieten, Stroh-, Futter- oder Dunglagerplätze auf DGL",Temporary,not_known_and_other,3399000000
114,Winter-Dinkel,Winter spelt,winter_spelt,3301011001
48,Mischung Mais/Bohne,Corn / bean mixture,grain_maize_corn_popcorn,3301010600
462,Beweidete Sandheiden,Grazed sandy heaths,not_known_and_other,3399000000
590,Brache mit jährlicher Einsaat von Blühmischung,Fallow with annual sowing of flower mix,fallow_land_not_crop,3301110000
918,Mehrjährige Blühstreifen oder Blühflächen (nur für Flächen mit AUM-BS 2 zu verwenden),Perennial flower strips or flower areas (only to be used for areas with AUM-BS 2),flowers_ornamental_plants,3301080000
480,Streuobstfläche mit Grünlandnutzung,Orchards with grassland use,orchards_fruits,3303010000
592,Dauergrünland aus der Erzeugung genommen iSd. Art. 4 Abs. 1 Buchst. c) ii) VO 1307/2013,Permanent grassland withdrawn from production within the meaning of Art. 4 para. 1 letter c) ii) Regulation 1307/2013,pasture_meadow_grassland_grass,3302000000
860,Spargel,asparagus,aspargus,3301200000
990,Alle anderen Flächen (keine LF),All other surfaces (no LF),not_known_and_other,3399000000
220,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Field bean / broad bean / horse bean / broad bean,beans,3301020100
606,Pflanzkartoffeln,Seed potatoes,potatoes,3301030000
610,Gemüse,vegetables,fresh_vegetables,3301070000
573,Uferrandstreifenprogramm,Riparian fringe program,not_known_and_other,3399000000
827,"Beerenobst, z.B. Johannis-, Stachel-, Himbeeren",Berries,berries_berry_species,3303020000
915,sonstige Blühstreifen oder Blühflächen,other flower strips or flower areas,flowers_ornamental_plants,3301080000
707,Erdbeeren,Strawberries,strawberries,3301130000
116,Sommerweichweizen,summer wheat,summer_common_soft_wheat,3301010103
912,Grassamenvermehrung,Grass seed propagation,pasture_meadow_grassland_grass,3302000000
941,Gründüngung im Hauptfruchtanbau,Green manure in main crop cultivation,not_known_and_other,3399000000
983,Weihnachtsbäume,Christmas trees,tree_wood_forest,3306000000
250,Gemenge Leguminosen/Getreide,Mixture of legumes / grain,legumes_dried_pulses_protein_crops,3301020000
972,Auslauf zur Nutztierhaltung (nicht DZ fähig),Run for livestock keeping (not DZ capable),not_known_and_other,3399000000
633,"Allium/Lauch (Speise-Zwiebel, Schalotte, Lauch, Knoblauch, Schnittlauch, Winterheckenzwiebel, Bärlauch)",Allium / leek (onion,alliums,3301220000
826,"Steinobst, z. B. Kirschen, Pflaumen",Stone fruit,orchards_fruits,3303010000
210,Erbsen (Frisch-/Speiseerbsen Freiland),Peas (fresh / table peas free range),peas,3301020600
433,Luzerne-Gras,Alfalfa grass,alfalfa_lucerne,3301090301
464,Beweidete Magerrasen,Grazed grasslands,pasture_meadow_grassland_grass,3302000000
634,"Möhre (Möhre/Karotte, Futtermöhre)",Carrot (carrot / carrot,carrots_daucus,3301290300
595,mehrjährige Honigpflanzen (AL aus der Erzeugung genommen),perennial honey plants (AL withdrawn from production),unmaintained,3308000000
425,Klee-Luzerne-Gemisch,Clover and alfalfa mixture,clover,3301090303
230,"Lupinen (Süßlupine, weiße Lupine, blaue/schmalblättrige Lupine, gelbe Lupine, Anden-Lupine)",Lupins (sweet lupine,sweet_lupins,3301020700
122,Sommerroggen,Summer rye,summer_rye,3301010303
423,Luzerne,alfalfa,alfalfa_lucerne,3301090301
720,Zierpflanzen (einschl. Blumen zum Selberpflücken),Ornamental plants (including flowers to pick yourself),flowers_ornamental_plants,3301080000
463,Beweidete Moorheiden,Grazed bog heaths,unmaintained,3308000000
841,Kurzumtriebsplantagen,Short rotation plantations,other_permanent_crops_plantations,3303990000
467,Gemähte montane Wiesen,Mown montane meadows,pasture_meadow_grassland_grass,3302000000
465,Beweidete montane Wiesen,Grazed montane meadows,pasture_meadow_grassland_grass,3302000000
613,"Gemüsekohl (Kopfkohl, Wirsing, Rot-/Weißkohl, Spitzkohl, Grünkohl, Kohlrabi, Markstammkohl, Blumenkohl, Romanesco, Brokkoli, Rosenkohl, Zierkohl)",Vegetable cabbage (head cabbage,brassica_oleracea_cabbage,3301210200
157,Sommertriticale,Summer triticale,summer_triticale,3301010803
421,Klee (stickstoffbindende Pflanze ÖVF),Clover (nitrogen-fixing plant VF),clover,3301090303
413,Futterrübe/Runkelrübe,Fodder beet / beetroot,mangelwurzel_fodder_beet,3301290400
50,Mischkulturen mit Saatgutmischung,Mixed cultures with seed mix,other_arable_land_crops,3301990000
914,Versuchsflächen mit mehreren beihilfefähigen Kulturarten,Trial plots with several eligible crops,other_arable_land_crops,3301990000
822,Streuobst als Ertragsanbau (ohne Wiesennutzung),Orchards as crop cultivation (without meadow use),orchards_fruits,3303010000
701,Nutzhanf,Industrial hemp,hemp_cannabis,3301061000
320,Sonnenblumen,sunflowers,sunflower,3301060500
576,Schutzstreifen Erosion (nur für Flächen mit AUM-BS 7.1 zu verwenden),Protection strip erosion (only to be used for areas with AUM-BS 7.1),not_known_and_other,3399000000
852,Chinaschilf/Miscanthus,Chinese reed / Miscanthus,miscanthus_silvergrass,3301083000
626,Gemüse-Kürbisgewächse,Vegetable cucurbits,cucurbits,3301140000
312,Sommerraps,Summer rape,summer_rapeseed_rape,3301060403
802,"Silphium (Durchwachsene Silphie, Becherpflanze)",Silphium (streaky Silphie,silphium_rosinweeds,3301084400
821,Kern- und Steinobst,Pome and stone fruit,orchards_fruits,3303010000
330,Sojabohnen,Soybeans,soy_soybeans,3301160000
316,"Sommerrübsen (Rübsen, Rübsamen, Rübsaat)",Summer rapeseed (rapeseed,summer_rapeseed_rape,3301060403
144,Sommermenggetreide,Summer mixed grain,summer_meslin,3301011103
49,Blühmischung für Biogas,Flowering mixture for biogas,other_arable_land_crops,3301990000
240,Erbsen/Bohnen,Peas beans,beans,3301020100
