original_code,original_name,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code
459,Grünland (Dauergrünland),Grassland (permanent grassland),pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
411,Silomais (als Hauptfutter),Silage maize (as staple feed),green_silo_maize,3301090400,green_silo_maize,3301090400
115,Winterweichweizen,Winter soft wheat,winter_common_soft_wheat,3301010101,winter_common_soft_wheat,3301010101
131,Wintergerste,Winter barley,winter_barley,3301010401,winter_barley,3301010401
171,Mais (ohne Zucker-/Silomais),Maize (without sugar / silage maize),grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
424,Ackergras,Arable grass,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
156,Wintertriticale,Winter triticale,winter_triticale,3301010801,winter_triticale,3301010801
574,Blühstreifen (nur AUM),Flower strips (only AUM),flowers_ornamental_plants,3301080000,flowers_ornamental_plants,3301080000
573,Uferrandstrfprog. (AL nur AUM),Uferrandstrfprog. (AL only AUM),not_known_and_other,3399000000,not_known_and_other,3399000000
575,Blühfläche (nur AUM),Flowering area (only AUM),flowers_ornamental_plants,3301080000,flowers_ornamental_plants,3301080000
121,Winterroggen,Winter rye,winter_rye,3301010301,winter_rye,3301010301
603,Zuckerrüben,Sugar beet,sugar_beet,3301290700,sugar_beet,3301290700
311,Winterraps,Winter rape,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401
591,AL aus Erzeugung genommen,AL taken from generation,unmaintained,3308000000,unmaintained,3308000000
602,Kartoffeln,potatoes,potatoes,3301030000,potatoes,3301030000
56,ÖVF-Streifen AL,Ecological Preferance Area strips AL,not_known_and_other,3399000000,not_known_and_other,3399000000
480,Streuobst mit DGL-Nutzung,Orchards with Permanent grassland use,orchards_fruits,3303010000,orchards_fruits,3303010000
422,Kleegras,Clover grass,clover,3301090303,clover,3301090303
143,Sommerhafer,Summer oats,spring_oats,3301010502,summer_oats,3301010503
132,Sommergerste,Summer barley,spring_barley,3301010402,summer_barley,3301010403
599,Brachefläche Vertragsnaturs.,Fallow land of contract nature conservation,fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
910,Wildacker auf lw. Fläche,Wild field on agricultural area,other_arable_land_crops,3301990000,other_arable_land_crops,3301990000
220,Acker-/Puff-/Pferdebohne,Field / broad / horse bean,beans,3301020100,beans,3301020100
924,Vertragsnaturs. ohne DZ,Contract nature conservation without direct payment,not_known_and_other,3399000000,not_known_and_other,3399000000
583,Naturschutz (1307/2013-32-2bi),Nature conservation (1307 / 2013-32-2bi),not_known_and_other,3399000000,not_known_and_other,3399000000
860,Spargel,asparagus,asparagus,3301200000,aspargus,3301200000
114,Winter-Dinkel,Winter spelt,winter_spelt,3301011001,winter_spelt,3301011001
210,Erbsen zur Körnergewinnung,Peas for grain production,peas,3301020600,peas,3301020600
838,Baumschulen (ohne Beerenobst),Tree nurseries (excluding soft fruit),nurseries_nursery,3303070000,nurseries_nursery,3303070000
707,Erdbeeren,Strawberries,strawberries,3301130000,strawberries,3301130000
250,Gemenge Leguminosen / Getreide,Mixture of legumes / grain,legumes_dried_pulses_protein_crops,3301020000,legumes_dried_pulses_protein_crops,3301020000
594,Brache mit Honigpflanzen,Fallow with honey plants,fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
590,Brache (Blühmischungen),Fallow (Flowering Mix),fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
592,DGL aus Erzeugung genommen,Permanent grass land suspendet from production,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
51,Mischkulturen in Reihenanbau,Mixed crops in rows,other_arable_land_crops,3301990000,other_arable_land_crops,3301990000
825,"Kernobst z.B. Äpfel, Birnen",Pome fruit e.g. apples,orchards_fruits,3303010000,orchards_fruits,3303010000
116,Sommerweichweizen,Summer soft wheat,spring_common_soft_wheat,3301010102,summer_common_soft_wheat,3301010103
423,Luzerne,alfalfa,alfalfa_lucerne,3301090301,alfalfa_lucerne,3301090301
112,Winterhartweizen/Durum,Winter hard wheat / durum,winter_durum_hard_wheat,3301010201,winter_durum_hard_wheat,3301010201
613,Gemüsekohl (auch Zierkohl),Vegetable cabbage (also ornamental cabbage),fresh_vegetables,3301070000,fresh_vegetables,3301070000
634,Möhre (auch Futtermöhre),Carrot (also feeding carrot),carrots_daucus,3301290300,carrots_daucus,3301290300
996,Unbefestigte Mieten AL,unfixed rents AL,not_known_and_other,3399000000,not_known_and_other,3399000000
983,Weihnachtsbäume,Christmas trees,tree_wood_forest,3306000000,tree_wood_forest,3306000000
492,etablierte lokale Praktiken,established local practices,not_known_and_other,3399000000,not_known_and_other,3399000000
50,Mischkulturen Saatgutmischung,Mixed crops seed mix,arable_land_seed_seedlings,3301100000,arable_land_seed_seedlings,3301100000
994,Unbefestigte Mieten DGL,Unfixed rents permanent grass land,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
633,Zwiebeln/Lauch,Onions / leeks,alliums,3301220000,alliums,3301220000
827,Beerenobst,Berries,berries_berry_species,3303020000,berries_berry_species,3303020000
852,Chinaschilf/Miscanthus,Chinese reed / Miscanthus,miscanthus_silvergrass,3301083000,miscanthus_silvergrass,3301083000
851,Rhabarber,rhubarb,rhubarb,3301230000,rhubarb,3301230000
629,Riesenkürbis (auch Hokkaido),Giant pumpkin (also Hokkaido),pumpkin_squash_gourd,3301140400,pumpkin_squash_gourd,3301140400
