original_code,original_name,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code
1,Vårbyg,Spring barley,spring_barley,3301010402,spring_barley,3301010402
2,Vårhvede,Spring wheat,spring_common_soft_wheat,3301010102,spring_common_soft_wheat,3301010102
3,Vårhavre,Spring oats,spring_oats,3301010502,spring_oats,3301010502
4,Blanding af vårsåede arter,Mixture of spring-sown species,arable_crops,3301000000,other_arable_land_crops,3301990000
5,Majs til modenhed,Maize for maturity,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
6,"Vårhvede, brødhvede",Spring wheat bread wheat,spring_common_soft_wheat,3301010102,spring_common_soft_wheat,3301010102
7,Korn + bælgsæd under 50% bælgsæd,Cereals + legumes below 50% legumes,cereal,3301010000,unspecified_cereals,3301011500
8,Vårspelt,Spring spelt,spring_spelt,3301011002,spring_spelt,3301011002
9,Vinterspelt,Winter spelt,winter_spelt,3301011001,winter_spelt,3301011001
10,Vinterbyg,Winter barley,winter_barley,3301010401,winter_barley,3301010401
11,Vinterhvede,Winter wheat,winter_common_soft_wheat,3301010101,winter_common_soft_wheat,3301010101
13,"Vinterhvede, brødhvede",Winter wheat bread wheat,winter_common_soft_wheat,3301010101,winter_common_soft_wheat,3301010101
14,Vinterrug,Winter rye,winter_rye,3301010301,winter_rye,3301010301
15,Vinterhybridrug,Winter hybrid rye,winter_rye,3301010301,winter_rye,3301010301
16,Vintertriticale,Winter triticale,winter_triticale,3301010801,winter_triticale,3301010801
17,Blanding af efterårssåede arter,Mixture of autumn sown species,arable_crops,3301000000,other_arable_land_crops,3301990000
21,Vårraps,Spring rape,spring_rapeseed_rape,3301060402,spring_rapeseed_rape,3301060402
22,Vinterraps,Winter rape,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401
24,Solsikke,Sunflower,sunflower,3301060500,sunflower,3301060500
25,Sojabønner,Soybeans,soy_soybeans,3301160000,soy_soybeans,3301160000
30,Ærter,Peas,peas,3301020600,peas,3301020600
31,Hestebønner,Broad bean,beans,3301020100,beans,3301020100
32,Sødlupin,Sweet lupine,sweet_lupins,3301020700,sweet_lupins,3301020700
35,"Bælgsæd, flerårig blanding",Legumes perennial mixture,legumes_dried_pulses_protein_crops,3301020000,legumes_dried_pulses_protein_crops,3301020000
36,"Bælgsæd, andre typer til modenhed blanding",Legumes other types for maturity mixing,legumes_dried_pulses_protein_crops,3301020000,legumes_dried_pulses_protein_crops,3301020000
40,Oliehør,Oil flax,flax_linseed_oil,3301060702,flax_linseed_oil,3301060702
42,Hamp,Hemp,hemp_cannabis,3301061000,hemp_cannabis,3301061000
51,"Blanding bredbladet afgrøde, frø/kerne",Mix broadleaf crop seed / core,arable_crops,3301000000,other_arable_land_crops,3301990000
52,Quinoa,Quinoa,quinoa,3301150300,quinoa,3301150300
53,Boghvede,Buckwheat,buckwheat,3301150200,buckwheat,3301150200
54,Bælgsæd blanding,Legume mixture,legumes_dried_pulses_protein_crops,3301020000,legumes_dried_pulses_protein_crops,3301020000
55,Vårrug,Spring rye,spring_rye,3301010302,spring_rye,3301010302
56,Vårtriticale,Spring triticale,spring_triticale,3301010802,spring_triticale,3301010802
57,Vinterhavre,Winter oats,winter_oats,3301010501,winter_oats,3301010501
58,Sorghum,Sorghum,millet_sorghum,3301010900,millet_sorghum,3301010900
101,"Rajgræsfrø, alm.",Ryegrass seeds regular,lolium_ryegrass,3301090205,lolium_ryegrass,3301090205
102,"Rajgræsfrø, alm. 1. år, efterårsudlagt",Ryegrass seeds regular 1st year autumn undersown,lolium_ryegrass,3301090205,lolium_ryegrass,3301090205
103,"Rajgræsfrø, ital.",Ryegrass seeds italian,lolium_ryegrass,3301090205,lolium_ryegrass,3301090205
