original_code,original_name,translated_name,HCAT3_name,HCAT3_code
0,PRODUCTO DESCONOCIDO,UNKNOWN PRODUCT,not_known_and_other,3399000000
1,TRIGO BLANDO,SOFT WHEAT,common_soft_wheat,3301010100
10,MIJO,Millet,millet_sorghum,3301010900
101,OLIVO,OLIVE,olive_plantations,3303050000
102,VIÑA,VINEYARD,vineyards_wine_vine_rebland_grapes,3303060000
103,UVA DE MESA,TABLE GRAPES,vineyards_wine_vine_rebland_grapes,3303060000
104,ALMENDRO,ALMOND,almond,3303030100
105,MELOCOTONERO,PEACH TREE,peach,3303011100
106,NECTARINO,NECTARINE,nectarine,3303010900
107,ALBARICOQUERO,APRICOT,apricots,3303010300
108,PERAL,PEAR TREE,pears,3303011200
109,MANZANO,APPLE TREE,apples,3303010200
11,ALPISTE,Canary Grass,canary_seed_canaryseed,3301011400
110,CEREZO,CHERRY,cherry_cherries,3303010400
111,CIRUELO,PLUM TREE,plums,3303011300
112,NOGAL,WALNUT,walnuts,3303030600
113,OTROS FRUTALES,OTHER FRUIT TREES,unspecified_orchards_fruits,3303019800
114,SUPERFICIES FORESTALES MADERABLES,TIMBER FOREST AREAS,tree_wood_forest,3306000000
115,OTRAS SUPERFICIES FORESTALES,OTHER FOREST AREAS,tree_wood_forest,3306000000
116,CHOPO,Populus,populus,3306070000
117,CASTAÑO,CHESTNUT,sweet_chestnuts,3303030500
118,ESPECIES AROMÁTICAS LEÑOSAS,"Woody Aromatic Plants (rosemary, lavender, etc)",aromatic_medicinal_culinary_plants_spices_herbs,3301061200
119,VIVERO - PRODUCTOR MVR,Nursery,nurseries_nursery,3303070000
12,TRANQUILLÓN,Meslin,meslin,3301011100
120,VIÑA - OLIVAR,VINEYARD - OLIVE GROVE,vineyards_wine_vine_rebland_grapes,3303060000
121,BONIATO,SWEET POTATO,sweet_potatoes,3301040000
122,ALGARROBO,CAROB TREE,carob,3303110100
123,AVELLANO,HAZEL,hazelnuts_hazel,3303030200
124,PISTACHO,PISTACHIO,pistachio,3303030400
125,FRUTOS DE CÁSCARA,NUTS,nuts,3303030000
13,TRITICALE,TRITICALE,triticale,3301010800
138,ADORMIDERA,POPPY,poppy,3301060600
139,HIERBA CINTA ,Reed Canary Grass,poaceae_grasses,3301090200
14,TRITORDEUM,TRITORDEUM,other_cereals,3301019900
140,ABACA ALIAS MANILA ,Manila Hemp,fibre_crops,3301061100
141,KENAF ,Deccan Hemp,fibre_crops,3301061100
142,YUTE ,Jute,fibre_crops,3301061100
143,SISAL,SISAL,fibre_crops,3301061100
144,PINOS PIÑONEROS,Pinyon Pine,nuts,3303030000
145,RESTO DE PINOS (NO PIÑONEROS),Other Pine trees excluding Pinenuts,other_tree_wood_forest,3306990000
146,ARBOLES DE NAVIDAD,CHRISTMAS TREES,other_tree_wood_forest,3306990000
147,ENCINA,HOLM OAK,oak,3306060000
148,BELLOTA,ACORN,oak,3306060000
149,ZARZAMORA,blackberry,blackberry,3303020200
150,Otras utilizaciones no agrarias ni forestales,Other non-agricultural or forestry uses,not_known_and_other,3399000000
151,PUERRO,LEEK,leek,3301220300
152,PIMIENTO,Pepper (Bell pepper),bell_pepper_paprika,3301300100
153,MELÓN,Melon,melon,3301140300
154,BRÓCOLI,BROCCOLI,broccoli,3301210202
155,LECHUGA,Lettuce,salads_lettuce_leaf_vegetables,3301310000
156,SANDÍA,WATERMELON,watermelon,3301140500
157,CEBOLLA,ONION,onions,3301220400
158,APIO,CELERY,celery,3301250000
159,COLIRRÁBANO,kohlrabi,kohlrabi,3301210209
160,COLIFLOR,CAULIFLOWER,cauliflower,3301210204
162,BERENJENA,EGGPLANT,aubergine_eggplant,3301260000
163,CALABACÍN,Zucchini,zucchini_courgette,3301140600
