original_code,original_name,translated_name,HCAT2_name,HCAT2_code
TA,TIERRA ARABLE,ARABLE LAND,arable_crops,3301000000
PR,PASTO ARBUSTIVO,SHRUBRY PASTURE,pasture_meadow_grassland_grass,3302000000
FO,FORESTAL,FOREST,tree_wood_forest,3306000000
PS,PASTIZAL,PASTURELAND,pasture_meadow_grassland_grass,3302000000
CA,VIALES,VIALS,not_known_and_other,3399000000
ZU,ZONA URBANA,URBAN ZONE,not_known_and_other,3399000000
ED,EDIFICACIONES,BUILDINGS,not_known_and_other,3399000000
IM,IMPRODUCTIVOS,UNPRODUCTIVE,not_known_and_other,3399000000
OV,OLIVAR,OLIVE,olive_plantations,3303050000
PA,PASTO CON ARBOLADO,PASTURE WITH TREES,tree_wood_forest,3306000000
VI,VIÑEDO,VINEYARD,vineyards_wine_vine_rebland_grapes,3303060000
FY,FRUTAL,FRUITY,orchards_fruits,3303010000
AG,CORRIENTES Y SUP. DE AGUA,CURRENTS AND SUP. OF WATER,not_known_and_other,3399000000
FS,FRUTOS SECOS,NUTS,nuts,3303030000
TH,HUERTA,VEGETABLE PLOT,fresh_vegetables,3301070000
IV,INVERNADEROS Y CULTIVOS BAJO PLÁSTICO,GREENHOUSES AND CROPS UNDER PLASTIC,greenhouse_foil_film,3305000000
VO,ASOC. OLIVAR-VIÑEDO,ASOC. OLIVE-VINEYARD,olive_plantations,3303050000
,,ASOC. OLIVE-VINEYARD,vineyards_wine_vine_rebland_grapes,3303060000
OF,ASOC. OLIVAR-FRUTAL,ASOC. OLIVE-FRUIT TREES,olive_plantations,3303050000
,,ASOC. OLIVE-FRUIT TREES,orchards_fruits,3303010000
VF,ASOC. FRUTAL-VIÑEDO,ASOC. FRUIT-VINEYARD,orchards_fruits,3303010000
,,ASOC. FRUIT-VINEYARD,vineyards_wine_vine_rebland_grapes,3303060000
FL,FRUTOS SECOS Y OLIVAR,DRIED FRUITS AND OLIVE TREES,orchards_fruits,3303010000
,,DRIED FRUITS AND OLIVE TREES,olive_plantations,3303050000
FF,ASOC. FRUTAL-FRUTOS SECOS,ASOC. FRUIT-NUTS,orchards_fruits,3303010000
,,ASOC. FRUIT-NUTS,nuts,3303030000
FV,VIÑA-FRUTOS SECOS,VINEYARD-NUTS,vineyards_wine_vine_rebland_grapes,3303060000
,,VINEYARD-NUTS,nuts,3303030000
ZC,ZONA CONCENTRADA,CONCENTRATED ZONE,not_known_and_other,3399000000
