original_code,original_name,translated_name,HCAT3_name,HCAT3_code
1110,Syysvehnä,Winter wheat,winter_common_soft_wheat,3301010101
1120,Kevätvehnä,Spring wheat,spring_common_soft_wheat,3301010102
1130,Durumvehnä,Durum wheat,unspecified_season_durum_hard_wheat,3301010299
1141,Syysspelttivehnä,Autumn Spelt,winter_spelt,3301011001
1142,Kevätspelttivehnä,Spring Spelt,spring_spelt,3301011002
1210,Syysruisvehnä,Winter Triticale,winter_triticale,3301010801
1211,Kevätruisvehnä,Spring Triticale,spring_triticale,3301010802
1220,Kevätruis,Spring rye,spring_rye,3301010302
1230,Syysruis,Autumn rye,winter_rye,3301010301
1310,Rehuohra,Feed Barley,barley,3301010400
1320,Mallasohra,Malt (barley),barley,3301010400
1330,Syysohra,Winter barley,winter_barley,3301010401
1400,Kaura,Oats,oats,3301010500
1410,Syyskaura,Autumn oats,winter_oats,3301010501
1545,Seoskasvusto (viljat),Mixed crops (cereals),cereal,3301010000
1555,Seoskasvusto (vilja+öljykasvit),Mixed crops (cereals+oil crops),cereal,3301010000
1601,Vihantavilja (ohra),Green fodder crops (barley),barley,3301010400
1602,Vihantavilja (kaura),Green fodder grain (oats),oats,3301010500
1603,Vihantavilja (vehnä),Green fodder grain (wheat),common_soft_wheat,3301010100
1604,Vihantavilja (ruis),Green fodder grain (Rye),rye,3301010300
1605,Vihantavilja (viljaseos),Green fodder grain (mixed cereals),cereal,3301010000
1700,Tattari,Buckwheat,buckwheat,3301150200
1710,Hirssi,Millet,millet_sorghum,3301010900
1750,Kvinoa (kinua),Quinoa (quinoa),quinoa,3301150300
1800,Maissi,Corn,grain_maize_corn_popcorn,3301010600
1810,Sokerimaissi,Sweet corn,grain_maize_corn_popcorn,3301010600
2110,Ruokaherne,Field Pea,peas,3301020600
2120,Rehuherne,Fodder pea,peas,3301020600
2170,Seoskasvusto (valkuaiskasvit+öljykasvit),Mixed crops (protein crops+oil crops),legumes_dried_pulses_protein_crops,3301020000
2175,Seos (herne/härkäpapu/makea lupiini/öljykasvit),Mixture (Pea/Farm Bean/Sweet Lupine/Oil Plants),legumes_dried_pulses_protein_crops,3301020000
