original_code,original_name,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code
AGR,Agrume,Citrus,citrus_plantations,3303040000,citrus_plantations,3303040000
AIL,Aïl,Garlic,garlic,3301220200,garlic,3301220200
ANE,Aneth,Dill,anethum_dill,3301061203,anethum_dill,3301061203
ANG,Angélique,Angelic,angelica,3301061204,angelica,3301061204
ANI,Anis,Anise,anise_aniseed,3301061205,anise_aniseed,3301061205
ARA,Arachide ,Peanut,arachis,3301090302,arachis,3301090302
ART,Artichaut ,Artichoke,artichoke,3301270000,artichoke,3301270000
AUB,Aubergine,Aubergine,aubergine_eggplant,3301260000,aubergine_eggplant,3301260000
AVH,Avoine d’hiver,Winter oats,winter_oats,3301010501,winter_oats,3301010501
AVO,Avocat,Avocado,avocado,3303100000,avocado,3303100000
AVP,Avoine de printemps,Spring oats,spring_oats,3301010502,spring_oats,3301010502
BAR,Bardane,Burdock,arctium_burdock,3301290100,arctium_burdock,3301290100
BAS,Basilic,Basil,basil,3301061207,basil,3301061207
BDH,Blé dur d’hiver,Hard winter wheat,winter_durum_hard_wheat,3301010201,winter_durum_hard_wheat,3301010201
BDP,Blé dur de printemps,Durum spring wheat,spring_durum_hard_wheat,3301010202,spring_durum_hard_wheat,3301010202
BFP,Bande admissible le long d’une forêt avec production,Permissible strip along a forest with production,not_known_and_other,3399000000,not_known_and_other,3399000000
BFS,Bande admissible le long d’une forêt sans production,Eligible strip along a forest without production,not_known_and_other,3399000000,not_known_and_other,3399000000
BLT,Bleuet,Cornflower,cornflowers,3301081000,cornflowers,3301081000
BOP,Bois pâturé,Grazed wood,other_tree_wood_forest,3306990000,other_tree_wood_forest,3306990000
BOR,Bordure de champ,Field margin,not_known_and_other,3399000000,not_known_and_other,3399000000
BRH,Bourrache de 5 ans ou moins,Borage 5 years or less,borage,3301061209,borage,3301061209
BRO,Brome de 5 ans ou moins,Bromus grass 5 years or less,poaceae_grasses,3301090200,not_known_and_other,3399000000
BTA,Bande tampon,Buffer strip,not_known_and_other,3399000000,not_known_and_other,3399000000
BTH,Blé tendre d’hiver,Soft winter wheat,winter_common_soft_wheat,3301010101,winter_common_soft_wheat,3301010101
BTN,Betterave non fourragère / Bette,Non-forage beet / Swiss chard,sugar_beet,3301290700,sugar_beet,3301290700
BTP,Blé tendre de printemps,Soft spring wheat,spring_common_soft_wheat,3301010102,spring_common_soft_wheat,3301010102
BVF,Betterave fourragère,Fodder beet,fodder_roots,3301050000,fodder_roots,3301050000
CAB,Caroube,Carob,carob,3303110100,carob,3303110100
CAE,Châtaigneraie entretenue par des porcins ou des petits ruminants,Chestnut grove maintained by pigs or small ruminants,sweet_chestnuts,3303030500,sweet_chestnuts,3303030500
CAF,Carotte fourragère,Forage carrot,carrots_daucus,3301290300,carrots_daucus,3301290300
CAG,Autre céréale d’un autre genre,Other cereal of a different type,winter_unspecified_cereals,3301011501,winter_unspecified_cereals,3301011501
CAR,Carotte,Carrot,carrots_daucus,3301290300,carrots_daucus,3301290300
CAV,Carvi,Caraway,caraway,3301061211,caraway,3301061211
CBT,Cerise bigarreau pour transformation,Bigarreau cherry for processing,cherry_cherries,3303010400,cherry_cherries,3303010400
CCN,Concombre / Cornichon,Cucumber / Pickle,cucumber_pickle,3301140100,cucumber_pickle,3301140100
CCT,Courgette / Citrouille,Zucchini / Pumpkin,zucchini_courgette,3301140600,zucchini_courgette,3301140600
CEE,Chênaie entretenue par des porcins ou des petits ruminants,Oak grove maintained by pigs or small ruminants,oak,3306060000,oak,3306060000
CEL,Céleri,Celery,celery,3301250000,celery,3301250000
CES,Chicorée / Endive / Scarole,Chicory / Endive / Escarole,chicory_chicories,3301310200,chicory_chicories,3301310200
CGF,Autre céréale de genre Fagopyrum,Other cereal of the genus Fagopyrum,buckwheat,3301150200,unspecified_season_unspecified_cereals,3301011599
CGH,Autre céréale de genre Phalaris,Other cereal of the genus Phalaris,canary_seed_canaryseed,3301011400,unspecified_season_unspecified_cereals,3301011599
CGO,Autre céréale de genre Sorghum,Other cereal of the genus Sorghum,millet_sorghum,3301010900,millet_sorghum,3301010900
CGP,Autre céréale de genre Panicum,Other cereal of the genus Panicum (millet),millet_sorghum,3301010900,unspecified_season_unspecified_cereals,3301011599
CHA,Autre céréale d’hiver de genre Avena,Other winter cereal of the genus Avena,winter_unspecified_cereals,3301011501,winter_unspecified_cereals,3301011501
CHF,Chou fourrager,Forage cabbage,brassica_oleracea_cabbage,3301210200,brassica_oleracea_cabbage,3301210200
CHH,Autre céréale d’hiver de genre Hordeum,Other winter cereal of the genus Hordeum,winter_barley,3301010401,winter_unspecified_cereals,3301011501
CHR,Chardon Marie,Milk thistle,marian_thistles,3301061300,marian_thistles,3301061300
CHS,Autre céréale d’hiver de genre Secale,Other Secale winter cereal,winter_rye,3301010301,winter_unspecified_cereals,3301011501
CHT,Autre céréale d’hiver de genre Triticum,Other winter cereal of the genus Triticum,winter_triticale,3301010801,winter_triticale,3301010801
CHU,Chou,Cabbage,brassica_oleracea_cabbage,3301210200,brassica_oleracea_cabbage,3301210200
CHV,Chanvre,Hemp,hemp_cannabis,3301061000,hemp_cannabis,3301061000
CIB,Ciboulette,Chive,chives,3301220100,chives,3301220100
CID,Cultures conduites en interrangs : 2 cultures représentant chacune plus de 25%,Inter-row cultivation: 2 crops each representing more than 25% of the total,arable_crops,3301000000,other_arable_land_crops,3301990000
CIT,Cultures conduites en interrangs : 3 cultures représentant chacune plus de 25%,Crops managed in inter-rows: 3 crops representing each more than 25%,arable_crops,3301000000,other_arable_land_crops,3301990000
CMB,Courge musquée / Butternut,Butternut squash / Butternut,pumpkin_squash_gourd,3301140400,pumpkin_squash_gourd,3301140400
CML,Cameline,Camelina,camelina,3301061500,camelina,3301061500
CMM,Camomille,Chamomile,chamomile,3301061213,chamomile,3301061213
CPA,Autre céréale de printemps de genre Avena,Other spring cereal of the genus Avena,spring_oats,3301010502,spring_unspecified_cereals,3301011502
CPH,Autre céréale de printemps de genre Hordeum,Other spring cereal of the genus Hordeum,spring_barley,3301010402,spring_unspecified_cereals,3301011502
CPL,Fourrage composé de céréales et/ou de protéagineux (en proportion < 50%) et/ou de légumineuses fourragères (en proportion < 50%),Fodder composed of cereals and / or protein crops (in proportion <50%) and / or fodder legumes (in proportion <50%),cereal,3301010000,unspecified_season_unspecified_cereals,3301011599
CPS,Autre céréale de printemps de genre Secale,Other spring cereal of the genus Secale,spring_rye,3301010302,spring_unspecified_cereals,3301011502
CPT,Autre céréale de printemps de genre Triticum,Other spring cereal of the genus Triticum,spring_triticale,3301010802,spring_triticale,3301010802
CPZ,Autre céréale de printemps de genre Zea,Other spring cereal of the genus Zea,grain_maize_corn_popcorn,3301010600,spring_unspecified_cereals,3301011502
CRA,Cresson alénois de 5 ans ou moins,Garden cress 5 years old or less,cress,3301210300,cress,3301210300
CRD,Coriandre,Coriander,coriander,3301061215,coriander,3301061215
CRF,Cerfeuil,Chervil,chervil,3301061214,chervil,3301061214
CRN,Cornille,Cowpea,peas,3301020600,peas,3301020600
CRS,Cresson,Cress,cress,3301210300,cress,3301210300
CSE,Chanvre sans étiquette conforme,Hemp without conforming label,hemp_cannabis,3301061000,,
CSS,Culture sous serre hors sol,Off-ground cultivation in greenhouse,greenhouse_foil_film,3305000000,greenhouse_foil_film,3305000000
CTG,Châtaigne,Chestnut,sweet_chestnuts,3303030500,sweet_chestnuts,3303030500
CUM,Cumin,Cumin,black_cumin,3301061208,black_cumin,3301061208
CZH,Colza d’hiver,Winter rapeseed,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401
CZP,Colza de printemps,Spring rapeseed,spring_rapeseed_rape,3301060402,spring_rapeseed_rape,3301060402
DOL,Dolique,cowpea,other_dry_pulses,3301029900,peas,3301020600
DTY,Dactyle de 5 ans ou moins,Dactylis Orchard grass 5 years or less,cocksfoot_catgrass,3301090203,cocksfoot_catgrass,3301090203
EPE,Épeautre,Spelt,spelt,3301011000,spelt,3301011000
EPI,Épinard,Spinach,spinach,3301310800,spinach,3301310800
EST,Estragon,Tarragon,tarragon,3301061236,tarragon,3301061236
FAG,Autre fourrage annuel d’un autre genre,Other annual fodder of a different type,other_arable_land_crops,3301990000,other_industrial_crops,3301069900
FET,Fétuque de 5 ans ou moins,Fescue 5 years or less,festuca_fescue,3301090202,festuca_fescue,3301090202
FEV,Fève,Faba bean,beans,3301020100,beans,3301020100
FF6,Féverole fourragère implantée pour la récolte 2016,Fodder faba bean implanted for the 2016 harvest,beans,3301020100,beans,3301020100
FF7,Féverole fourragère implantée pour la récolte 2017,Feed faba bean planted for the 2017 harvest,beans,3301020100,beans,3301020100
FF8,Féverole fourragère implantée pour la récolte 2018,Faba bean planted for the 2018 harvest,beans,3301020100,beans,3301020100
FFO,Autre féverole fourragère,Other fodder bean,beans,3301020100,beans,3301020100
