original_code,original_name,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code
111,"Kvieši, vasaras",Wheat summer,spring_common_soft_wheat,3301010102,summer_common_soft_wheat,3301010103
112,"Kvieši, ziemas",Wheat winter,winter_common_soft_wheat,3301010101,winter_common_soft_wheat,3301010101
113,Kvieši vasaras ar stiebrzāļu vai tauriņziežu pasēju,Wheat in summer with grass or legume sowing,spring_common_soft_wheat,3301010102,summer_common_soft_wheat,3301010103
115,"Speltas kvieši, vasaras",Spelt summer,spring_spelt,3301011002,summer_spelt,3301011003
116,"Speltas kvieši, ziemas","Spelt wheat, winter",winter_spelt,3301011001,winter_spelt,3301011001
121,Rudzi,Rye,rye,3301010300,rye,3301010300
122,"Rudzi, Kaupo šķirnes",Rye Kaupo varieties,rye,3301010300,rye,3301010300
123,"Rudzu populācijas šķirnes, izņemot ‘Kaupo’",Rye population varieties other than ,rye,3301010300,rye,3301010300
131,"Mieži, vasaras",Barley summer,spring_barley,3301010402,summer_barley,3301010403
132,"Mieži, ziemas",Barley winter,winter_barley,3301010401,winter_barley,3301010401
133,Mieži vasaras ar stiebrzāļu vai tauriņziežu pasēju,Barley summer with grass or legume sowing,spring_barley,3301010402,summer_barley,3301010403
140,Auzas,Oats,oats,3301010500,oats,3301010500
141,Auzas ar stiebrzāļu vai tauriņziežu pasēju,Oats with grass or legume paste,oats,3301010500,oats,3301010500
150,"Tritikāle, vasaras",Triticale summer,spring_triticale,3301010802,summer_triticale,3301010803
151,"Tritikāle, ziemas",Triticale winter,winter_triticale,3301010801,winter_triticale,3301010801
152,Tritikāle vasaras ar stiebrzāļu vai tauriņziežu pasēju,Summer triticale with grass or legume paste,spring_triticale,3301010802,summer_triticale,3301010803
160,Griķi,Buckwheat,buckwheat,3301150200,buckwheat,3301150200
161,Griķi ar tauriņziežu pasēju,Buckwheat with legume seed,buckwheat,3301150200,buckwheat,3301150200
170,Kaņepes,Cannabis,hemp_cannabis,3301061000,hemp_cannabis,3301061000
211,"Rapsis, vasaras",Rape summer,summer_rapeseed_rape,3301060403,summer_rapeseed_rape,3301060403
212,"Rapsis, ziemas",Rape winter,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401
213,"Ripsis, vasaras","Rapeseed, summer",summer_rapeseed_rape,3301060403,summer_rapeseed_rape,3301060403
214,"Ripsis, ziemas",Rapeseed winter,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401
215,Sinepe,Mustard,mustard,3301210100,mustard,3301210100
216,Sinepes ar tauriņziežu pasēju,Mustard with legume paste,mustard,3301210100,mustard,3301210100
310,"Lini, šķiedras",Linen fibers,flax_linen,3301060701,flax_linen,3301060701
330,"Lini, eļļas",Flax oils,flax_linseed_oil,3301060702,flax_linseed_oil,3301060702
410,Lauka pupas,Field beans,beans,3301020100,beans,3301020100
420,Zirņi,Peas,peas,3301020600,peas,3301020600
430,"Lupīna (saldā jeb dzeltenā, baltā, šaurlapu)",Lupine (sweet or yellow white narrow leaf),sweet_lupins,3301020700,sweet_lupins,3301020700
441,"Vīķi, vasaras",Vetches summer,vetches,3301090305,vetches,3301090305
442,"Vīķi, ziemas",Vetches winter,vetches,3301090305,vetches,3301090305
443,Soja,Soybeans,soy_soybeans,3301160000,soy_soybeans,3301160000
445,"Graudaugu un zirņu vai vīķu maisījums, kur proteīnaugi >50%",Mixture of cereals and peas or vetches with protein crops> 50%,legumes_dried_pulses_protein_crops,3301020000,unspecified_cereals,3301011500
446,"Graudaugu un zirņu vai vīķu maisījums ar stiebrzāļu vai tauriņziežu pasēju, kur proteīnaugi >50%",Mixture of cereals and peas or vetches with grass or legume sowing where protein crops> 50%,legumes_dried_pulses_protein_crops,3301020000,unspecified_cereals,3301011500
610,Papuve,Idle land,fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
620,"LIZ, par kuru kārtējā gadā nevar saņemt atbalstu",UAA for which no support is available in the current year,not_known_and_other,3399000000,currants,3303020600
640,Kokaugu stādaudzētavas lauksaimniecības zemē,Tree nurseries on agricultural land,nurseries_nursery,3303070000,nurseries_nursery,3303070000
641,Miežabrālis,Reed canary grass,poaceae_grasses,3301090200,canary_seed_canaryseed,3301011400
642,Klūdziņprosa,Switch grass,switchgrass,3301090208,switchgrass,3301090208
644,Apse,Apsen,aspen,3306020000,aspen,3306020000
