,ee_2021,sk_2021,de_nrw_2021,fr_2018,nl_no_year,lt_2021,at_2021,si_2021,dk_2019,hr_2020,es_ne_2021,pt_2021,lv_2021,de_ls_2021,se_2021,ro_no_year,be_vlg_2021
ee_2021,127,76,74,83,75,15,51,57,81,6,6,47,78,80,36,4,72
sk_2021,76,118,66,74,70,14,59,59,78,7,7,55,63,67,33,5,68
de_nrw_2021,74,66,174,93,86,17,70,53,72,7,6,39,63,122,34,4,76
fr_2018,83,74,93,146,71,15,60,62,81,10,9,56,64,88,38,5,73
nl_no_year,75,70,86,71,140,15,56,54,85,8,6,48,68,82,35,4,96
lt_2021,15,14,17,15,15,22,13,16,15,3,4,12,14,16,15,4,14
at_2021,51,59,70,60,56,13,99,56,59,8,8,39,51,74,36,5,56
si_2021,57,59,53,62,54,16,56,104,69,9,8,48,51,58,35,4,58
dk_2019,81,78,72,81,85,15,59,69,128,8,7,51,71,72,37,5,88
hr_2020,6,7,7,10,8,3,8,9,8,11,8,8,6,7,7,5,7
es_ne_2021,6,7,6,9,6,4,8,8,7,8,10,8,5,7,6,5,6
pt_2021,47,55,39,56,48,12,39,48,51,8,8,83,41,41,25,4,52
lv_2021,78,63,63,64,68,14,51,51,71,6,5,41,103,69,31,3,59
de_ls_2021,80,67,122,88,82,16,74,58,72,7,7,41,69,145,35,4,77
se_2021,36,33,34,38,35,15,36,35,37,7,6,25,31,35,48,5,37
ro_no_year,4,5,4,5,4,4,5,4,5,5,5,4,3,4,5,8,4
be_vlg_2021,72,68,76,73,96,14,56,58,88,7,6,52,59,77,37,4,129
