original_code,original_name,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code
174,Bloemzaden open grond,Flower seeds open ground,flowers_ornamental_plants,3301080000,flowers_ornamental_plants,3301080000
233,"Tarwe, winter-",wheat winter,winter_common_soft_wheat,3301010101,winter_common_soft_wheat,3301010101
234,"Tarwe, zomer-",wheat summer,spring_common_soft_wheat,3301010102,spring_common_soft_wheat,3301010102
235,"Gerst, winter-",barley winter,winter_barley,3301010401,winter_barley,3301010401
236,"Gerst, zomer-",barley summer,spring_barley,3301010402,spring_barley,3301010402
237,Rogge (geen snijrogge),Rye (not cut rye),rye,3301010300,unspecified_season_rye,3301010399
238,Haver,Oats,oats,3301010500,unspecified_season_oats,3301010599
241,Kapucijners (en grauwe erwten),Capuchins (and gray peas),peas,3301020600,peas,3301020600
242,"Bonen, bruine-",beans brown,beans,3301020100,beans,3301020100
244,"Erwten, groene/gele (groen te oogsten)",Peas green/yellow (green to be harvested),peas,3301020600,peas,3301020600
246,Karwijzaad (oogst dit jaar),Caraway seed (harvest this year),caraway,3301061211,caraway,3301061211
247,Blauwmaanzaad,Poppy seeds,poppy,3301060600,moonseed,3301083100
256,"Bieten, suiker-",beets sugar,sugar_beet,3301290700,sugar_beet,3301290700
257,"Bieten, voeder-",Fodder beets,mangelwurzel_fodder_beet,3301290400,beetroot_beets,3301290200
258,Luzerne,Lucerne,alfalfa_lucerne,3301090301,alfalfa_lucerne,3301090301
259,"Maïs, snij-",maize cut,green_silo_maize,3301090400,green_silo_maize,3301090400
262,"Uien, zaai-",onions sowing,onions,3301220400,onions,3301220400
263,"Uien, zilver-",onions silver,onions,3301220400,onions,3301220400
265,"Grasland, blijvend",Grassland permanent,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
266,"Grasland, tijdelijk",Grassland temporary,temporary_grass,3301090100,pasture_meadow_grassland_grass,3302000000
308,Erwten (droog te oogsten),Peas (to harvest dry),peas,3301020600,peas,3301020600
311,"Bonen, veld- (onder andere duiven-, paarden-, wierbonen) ",Beans field (including pigeon-,beans,3301020100,beans,3301020100
314,Triticale,Triticale,triticale,3301010800,unspecified_season_triticale,3301010899
316,"Maïs, korrel-",corn grain,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
317,"Maïs, corncob mix",Corn corncob mix,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
331,"Grasland, natuurlijk. Hoofdfunctie landbouw.",Grassland natural. Main function agriculture.,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
332,"Grasland, natuurlijk. Hoofdfunctie natuur.",Grassland of course. Main function nature.,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
333,"Rand, grenzend aan blijvend grasland of een blijvende teelt, hoofdzakelijk bestaand uit blijvend gras",Border adjacent to permanent grassland or a permanent crop consisting mainly of permanent grass,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
334,"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit blijvend gras",Edge adjacent to arable land consisting mainly of permanent grass,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
335,Natuurterreinen (incl. heide),Natural areas (incl. heath),not_known_and_other,3399000000,not_known_and_other,3399000000
337,"Bufferstrook, rand (inclusief eventuele oevervegetatie)",Buffer strip edge (including any riparian vegetation),not_known_and_other,3399000000,not_known_and_other,3399000000
338,"Rand, liggend op bouwland en direct grenzend aan bos. Geen landbouwproductie.",Edge lying on arable land and directly adjacent to forest. No agricultural production.,not_known_and_other,3399000000,arable_land_seed_seedlings,3301100000
343,"Sloot, grenzend aan beheerde akkerrand",Ditch adjacent to managed field edge,not_known_and_other,3399000000,not_known_and_other,3399000000
344,"Rand, grenzend aan blijvend grasland of een blijvende teelt, hoofdzakelijk bestaand uit een ander gewas dan gras",Border adjacent to permanent pasture or permanent crop consisting mainly of a crop other than grass,other_arable_land_crops,3301990000,other_arable_land_crops,3301990000
346,Tagetes erecta (Afrikaantje),Tagetes erecta (marigold),tagetes,3301084700,calendula_marigold,3301061210
347,Tagetes patula (Afrikaantje),Tagetes patula (tagetes),tagetes,3301084700,tagetes,3301084700
370,"Rand, grenzend aan blijvend grasland of een blijvende teelt, hoofdzakelijk bestaand uit tijdelijk gras",Border adjacent to permanent pasture or a permanent crop consisting mainly of temporary grass,temporary_grass,3301090100,temporary_grass,3301090100
372,"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit tijdelijk gras",Edge adjacent to arable land consisting mainly of temporary grass,temporary_grass,3301090100,temporary_grass,3301090100
375,Hop,Hop,hops,3301060200,hops,3301060200
381,Teff,teff,teff,3301010904,teff,3301010904
382,Spelt,Spelt,spelt,3301011000,spelt,3301011000
383,Graszaad,grass seed,temporary_grass,3301090100,temporary_grass,3301090100
426,"Overige groenbemesters, vlinderbloemige- ",Other green manures leguminous plants,unspecified_legumes_harvested_green,3301090398,unspecified_legumes_harvested_green,3301090398
427,"Overige groenbemesters, niet-vlinderbloemige-",Other green manures non-leguminous ,fallow_land_not_crop,3301110000,other_arable_land_crops,3301990000
428,Gele mosterd,Yellow mustard,mustard,3301210100,mustard,3301210100
511,Cichorei,Chicory,chicory_chicories,3301310200,chicory_chicories,3301310200
515,Zonnebloemen,sunflowers,sunflower,3301060500,sunflower,3301060500
516,Miscanthus (olifantsgras),Miscanthus (elephant grass),miscanthus_silvergrass,3301083000,miscanthus_silvergrass,3301083000
636,Saffloer,safflower,safflower,3301083900,safflower,3301083900
637,Vrouwenmantel,lady's mantle,alchemilla_ladys_mantle,3301061202,alchemilla_ladys_mantle,3301061202
652,Meekrap,Madder,rubia_tinctorum_common_madder,3301061231,rubia_tinctorum_common_madder,3301061231
653,Teunisbloem,evening primrose,primrose,3301083500,primrose,3301083500
654,Brandnetel,Nettle,nettles,3301061225,nettles,3301061225
655,Zwarte mosterd,black mustard,mustard,3301210100,mustard,3301210100
656,Zonnekroon,Sunflower,sunflower,3301060500,sunflower,3301060500
657,Drachtplanten,Perennial plants,permanent_crops_perennial,3303000000,unspecified_permanent_crops,3303120000
662,Bos (SBL-regeling) ,Forest (SBL scheme),tree_wood_forest,3306000000,other_tree_wood_forest,3306990000
663,"Lupinen, niet bittere",Lupins not bitter,sweet_lupins,3301020700,sweet_lupins,3301020700
664,Raapzaad,Rapeseed,rapeseed_rape,3301060400,unspecified_season_rapeseed_rape,3301060499
665,Sojabonen,soybeans,soy_soybeans,3301160000,soy_soybeans,3301160000
666,"Vlas, olie-. Lijnzaad niet van vezelvlas",Flax oil. Linseed not from fiber flax,flax_linseed_oil,3301060702,flax_linseed_oil,3301060702
670,Japanse haver,Japanese oats,oats,3301010500,unspecified_season_oats,3301010599
671,Raketblad (aaltjesvanggewas),Rocket leaf (nematode catch crop),rocket_arugula,3301310600,rocket_arugula,3301310600
794,Woudbomen met korte omlooptijd (excl. Wilgenhakhout),Short rotation forest trees (excl. willow coppice),tree_wood_forest,3306000000,other_tree_wood_forest,3306990000
795,Wilgenhakhout,Willow coppice,willows_osiers,3306080000,willows_osiers,3306080000
796,Kerstbomen,Christmas trees,other_tree_wood_forest,3306990000,other_tree_wood_forest,3306990000
799,"Klaver, rode",clover red,clover,3301090303,clover,3301090303
800,Rolklaver,Trefoil,legumes_harvested_green,3301090300,clover,3301090303
801,Esparcette,esparcette,esparsette_onobrychis,3301020300,esparsette_onobrychis,3301020300
802,"Wikke, bonte",Vetch variegated,vetches,3301090305,vetches,3301090305
803,"Wikke, voeder-",vetch feed,vetches,3301090305,vetches,3301090305
804,Klaverzaad,clover seed,clover,3301090303,clover,3301090303
814,"Maïs, suiker-",corn sugar,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
853,"Bonen, tuin- (droog te oogsten) (geen consumptie)",Beans garden (dry harvest) (no consumption),beans,3301020100,beans,3301020100
854,"Bonen, tuin- (groen te oogsten)",Beans garden (green to be harvested),beans,3301020100,beans,3301020100
863,Bos zonder herplantplicht,Forest without obligation to replant,tree_wood_forest,3306000000,other_tree_wood_forest,3306990000
864,Bos (set aside regeling),Forest (set aside arrangement),tree_wood_forest,3306000000,other_tree_wood_forest,3306990000
944,"Hennep, vezel-",hemp,hemp_cannabis,3301061000,hemp_cannabis,3301061000
964,"Dahlia, overige bloemkwekerijgewassen",Dahlia other flower nursery crops,dahlia,3301081200,dahlia,3301081200
965,"Dahlia, droogbloemen",Dahlia dried flowers,dahlia,3301081200,dahlia,3301081200
967,"Gladiool, overige bloemkwekerijgewassen",Gladiolus other flower nursery crops,gladiolus_gladioli,3301082100,gladiolus_gladioli,3301082100
968,"Gladiool, droogbloemen",Gladiolus dried flowers,gladiolus_gladioli,3301082100,gladiolus_gladioli,3301082100
970,"Hyacint, overige bloemkwekerijgewassen",Hyacinth other flower nursery crops,other_flowers_ornamental_plants,3301089900,flowers_ornamental_plants,3301080000
971,"Hyacint, droogbloemen",Hyacinth dried flowers,other_flowers_ornamental_plants,3301089900,flowers_ornamental_plants,3301080000
973,"Iris, overige bloemkwekerijgewassen",Iris other flower nursery crops,iris,3301082200,iris,3301082200
974,"Iris, droogbloemen",Iris dried flowers,iris,3301082200,iris,3301082200
976,"Krokus, overige bloemkwekerijgewassen",Crocus other flower nursery crops,saffron_crocus_sativus,3301061232,saffron_crocus_sativus,3301061232
979,"Lelie, overige bloemkwekerijgewassen",Lily other flower nursery crops,lilies,3301082500,flowers_ornamental_plants,3301080000
982,"Narcis, overige bloemkwekerijgewassen",Narcissus other flower nursery crops,narcissus_daffodil,3301083300,narcissus_daffodil,3301083300
985,"Tulp, overige bloemkwekerijgewassen",Tulip other flower nursery crops,tulips,3301084900,tulips,3301084900
988,"Zantedeschia, overige bloemkwekerijgewassen",Zantedeschia other flower nursery crops,other_flowers_ornamental_plants,3301089900,flowers_ornamental_plants,3301080000
991,"Overige bloemen, overige bloemkwekerijgewassen",Other flowers other flower nursery crops,unspecified_flowers_ornamental_plants,3301089800,nurseries_nursery,3303070000
992,"Overige bloemen, droogbloemen",Other flowers dried flowers,unspecified_flowers_ornamental_plants,3301089800,flowers_ornamental_plants,3301080000
994,"Amaryllis, overige bloemkwekerijgewassen",Amaryllis other flower nursery crops,other_flowers_ornamental_plants,3301089900,flowers_ornamental_plants,3301080000
997,"Dahlia, bloembollen en - knollen",Dahlia,dahlia,3301081200,dahlia,3301081200
998,"Gladiool, bloembollen en - knollen",Gladiolus flower bulbs and tubers,gladiolus_gladioli,3301082100,gladiolus_gladioli,3301082100
999,"Hyacint, bloembollen en - knollen",Hyacinth flower bulbs and tubers,other_flowers_ornamental_plants,3301089900,flowers_ornamental_plants,3301080000
1001,"Krokus, bloembollen en - knollen",Crocus flower bulbs and tubers,saffron_crocus_sativus,3301061232,flowers_ornamental_plants,3301080000
