original_code,original_name,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code
172,Tuinbouwzaden,Horticultural Seeds,arable_land_seed_seedlings,3301100000,other_arable_land_crops,3301990000
175,Bloemkwekerijgewassen (inclusief bloemzaden),Flower nursery crops (including flower seeds),flowers_ornamental_plants,3301080000,unspecified_flowers_ornamental_plants,3301089800
176,Bloembollen en - knollen,Flower bulbs and tubers,flowers_ornamental_plants,3301080000,unspecified_flowers_ornamental_plants,3301089800
212,Fruit,Fruit,orchards_fruits,3303010000,unspecified_orchards_fruits,3303019800
229,Boomkwekerij en vaste planten,Tree nursery and perennials,tree_wood_forest,3306000000,unspecified_tree_wood_forest,3306980000
239,"Erwten, groene, droog te oogsten (geen conserven)","Peas, green, dry harvest (no canned)",peas,3301020600,other_arable_land_crops,3301990000
240,Schokkers,Wrinkled pea,peas,3301020600,other_arable_land_crops,3301990000
243,"Bonen, veld-(oa duive-, paarde-, wierbonen)(droog te oogsten","Beans, field (including pigeon, horse, weed beans) (can be harvested dry",beans,3301020100,peas,3301020600
249,"Vlas, vezel- (niet voor zaaizaad)","Flax, fiber (not for seed)",flax_linen,3301060701,flax_linen,3301060701
294,"Boomkwekerijgewassen en vaste planten, pot- en containerveld","Nursery crops and perennials, pot and container field",nurseries_nursery,3303070000,not_known_and_other,3399000000
336,"Grasland, natuurlijk. Areaal met een natuurbeheertype dat overwegend voor landbouwactiviteiten-GLB wordt gebruikt","Grassland, of course. Area with a nature management type mainly used for agricultural activities-CAP",pasture_meadow_grassland_grass,3302000000,temporary_grass,3301090100
345,"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit een ander gewas dan gras","Border, adjacent to arable land, consisting mainly of a crop other than grass",other_arable_land_crops,3301990000,other_arable_land_crops,3301990000
513,Kanariezaad,canary seed,canary_seed_canaryseed,3301011400,other_arable_land_crops,3301990000
658,Graansorgho,grain sorghum,millet_sorghum,3301010900,unspecified_season_millet_sorghum,3301010999
659,Boekweit,Buckwheat,buckwheat,3301150200,other_arable_land_crops,3301990000
660,Gierst,Millet,millet_sorghum,3301010900,other_arable_land_crops,3301990000
661,Overige granen,Other grains,unspecified_cereals,3301011500,other_arable_land_crops,3301990000
669,Zwaardherik (aaltjesvanggewas),Arugula (nematode-catching crop),rocket_arugula,3301310600,other_salads_lettuce_leaf_vegetables,3301319900
672,Groenten open grond (inclusief groentezaden),Vegetables open ground (including vegetable seeds),fresh_vegetables,3301070000,not_known_and_other,3399000000
859,"Aardappelen, zetmeel geleverd aan buitenland","Potatoes, starch delivered abroad",potatoes,3301030000,potatoes,3301030000
980,"Lelie, droogbloemen","Lily, dried flowers",lilies,3301082500,lilies,3301082500
983,"Narcis, droogbloemen","Narcissus, dried flowers",narcissus_daffodil,3301083300,narcissus_daffodil,3301083300
986,"Tulp, droogbloemen","Tulip, dried flowers",tulips,3301084900,tulips,3301084900
995,"Amaryllis, droogbloemen","Amaryllis, dried flowers",other_flowers_ornamental_plants,3301089900,other_flowers_ornamental_plants,3301089900
1000,"Iris, bloembollen en -knollen","Iris, flower bulbs and tubers",iris,3301082300,iris,3301082300
1018,"Kuifhyacint, bloembollen en -knollen","Crested hyacinth, bulbs and tubers",other_flowers_ornamental_plants,3301089900,other_flowers_ornamental_plants,3301089900
1027,"Pioenroos, bloembollen en -knollen","Peony, flower bulbs and tubers",peony_peonies,3301083400,peony_peonies,3301083400
1038,"Peterselie, zaden en opkweekmateriaal","Parsley, seeds and growing material",parsly,3301061227,parsly,3301061227
1040,"Chrysant, droogbloemen","Chrysanthemum, dried flowers",chrysanthemum,3301080900,chrysanthemum,3301080900
1043,"Angelica, zaden en opkweekmateriaal","Angelica, seeds and propagation material",angelica,3301061204,angelica,3301061204
1049,"Echinacea (zonnehoed), zaden en opkweekmateriaal","Echinacea (coneflower), seeds and propagation material",echinacea_sun_hat,3301081500,echinacea_sun_hat,3301081500
1055,"Chrysant, vermeerdering","Chrysanthemum, propagation",chrysanthemum,3301080900,chrysanthemum,3301080900
1570,Klaverzaad,clover seed,clover,3301090303,clover,3301090303
1574,Definitief aan de landbouw onttrokken cultuurgrond,Agricultural land permanently withdrawn from agriculture,unmaintained,3308000000,other_arable_land_crops,3301990000
1575,Faunaranden,Fauna Edges,not_known_and_other,3399000000,other_tree_wood_forest,3306990000
1697,Hazelnoten,hazelnuts,hazelnuts_hazel,3303030200,hazelnuts_hazel,3303030200
1698,Walnoten,walnuts,walnuts,3303030600,walnuts,3303030600
1909,"Aardappelen, consumptie- op kleigrond","Potatoes, consumption on clay soil",potatoes,3301030000,potatoes,3301030000
1910,"Aardappelen, consumptie- op zand-/veengrond","Potatoes, consumption on sandy/peat soil",potatoes,3301030000,potatoes,3301030000
1911,"Aardappelen, cons. op kleigrond (vroeg, loofver voor 15-07)","Potatoes, cons. on clay soil (early, leaves before 15-07)",potatoes,3301030000,potatoes,3301030000
1912,"Aardappelen, cons. op zand/veen (vroeg, loofver voor 15-07)","Potatoes, cons. on sand/peat (early, leaves before 15-07)",potatoes,3301030000,potatoes,3301030000
1914,"Graszaad, overig","Grass seed, other",poaceae_grasses,3301090200,temporary_grass,3301090100
1915,"Graszaad, rietzwenkgras","Grass seed, tall fescue",festuca_fescue,3301090202,temporary_grass,3301090100
1916,"Graszaad, veldbeemd","Grass seed, kentucky bluegrass ",poaceae_grasses,3301090200,temporary_grass,3301090100
1917,"Graszaad, roodzwenkgras, 1e jaar","Grass seed, red fescue, 1st year",festuca_fescue,3301090202,temporary_grass,3301090100
1918,"Graszaad, roodzwenkgras, overjarig","Grass seed, red fescue, perennial",festuca_fescue,3301090202,temporary_grass,3301090100
1919,"Graszaad, westerwolds","Grass seed, westerwolds ryegrass",lolium_ryegrass,3301090205,temporary_grass,3301090100
1920,"Graszaad, Italiaans","Grass Seed, Italian ryegrass",lolium_ryegrass,3301090205,temporary_grass,3301090100
1925,Overige akkerbouwgewassen,Other arable crops,arable_crops,3301000000,not_known_and_other,3399000000
1928,"Aardappelrassen, poot- op kleigrond","Potato varieties, seed on clay soil",potatoes,3301030000,potatoes,3301030000
1929,"Aardappelrassen, poot- op zand-/veengrond","Potato varieties, seed on sandy/peat soil",potatoes,3301030000,potatoes,3301030000
1930,"Tagetes (zand, loss) (geen groene braak)","Tagetes (sand, loess) (no green fallow)",tagetes,3301084700,other_arable_land_crops,3301990000
1931,"Uien, poot- en plant- (incl. sjalotten)","Onions, plant and plant (incl. shallots)",onions,3301220400,onions,3301220400
1950,Onbekend/gewas niet opgegeven,Unknown/crop not specified,other_arable_land_crops,3301990000,other_arable_land_crops,3301990000
1959,Dummycode voor dummypercelen,Dummy code for dummy plots,not_known_and_other,3399000000,not_known_and_other,3399000000
2026,Braak met bos (SBL-regeling na 28 juni 1995),"Clearing the forest (SBL scheme after June 28, 1995)",not_known_and_other,3399000000,not_known_and_other,3399000000
2027,Bos (SBL-regeling),Forest (SBL scheme),tree_wood_forest,3306000000,unspecified_tree_wood_forest,3306980000
2029,"Braak, natuur-","fallow, natural",fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
2030,"Graszaad, Engels raai 1e jaar","Grass seed, English ryegrass 1st year",lolium_ryegrass,3301090205,temporary_grass,3301090100
2031,"Graszaad, Engels raai overjarig","Grass seed, perennial ryegrass perennial",lolium_ryegrass,3301090205,temporary_grass,3301090100
2033,"Onbeteelde grond, tijdelijk","Uncultivated land, temporary",fallow_land_not_crop,3301110000,other_arable_land_crops,3301990000
2297,Woudbomen met korte omlooptijd,Short rotation forest trees,tree_wood_forest,3306000000,unspecified_tree_wood_forest,3306980000
2298,"Groenbemesters, vlinderbloemige","Green manures, leguminous plants",legumes_harvested_green,3301090300,other_arable_land_crops,3301990000
2299,"Groenbemesters, niet-vlinderbloemige","Green manures, non-butterfly flowered",fallow_land_not_crop,3301110000,other_arable_land_crops,3301990000
2301,Natuurlijk grasland met hoofdfunctie landbouw,Natural grassland with main function agriculture,pasture_meadow_grassland_grass,3302000000,temporary_grass,3301090100
