original_code,original_name,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code
83,OLIVAL,OLIVE VALLEY,olive_plantations,3303050000,olive_plantations,3303050000
143,PASTAGENS PERMANENTES,PERMANENT PASTURES,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
280,PASTAGENS ARBUSTIVAS,PASTURE WITH BUSHES,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
34,VINHA,VINEYARD,vineyards_wine_vine_rebland_grapes,3303060000,vineyards_wine_vine_rebland_grapes,3303060000
6,MILHO,CORN,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
142,PRADOS TEMPORÁRIOS,TEMPORARY MEADOWS,temporary_grass,3301090100,temporary_grass,3301090100
110,CASTANHA,CASTANIA,sweet_chestnuts,3303030500,sweet_chestnuts,3303030500
267,CONSOCIAÇÕES ANUAIS E OUTRAS CULT. FORRAG. ANUAIS,ANNUAL AND OTHER CULT. FORAGE ANNUALS,other_arable_land_crops,3301990000,other_arable_land_crops,3301990000
90,OUTRAS HORTÍCOLAS,OTHER VEGETABLES,fresh_vegetables,3301070000,fresh_vegetables,3301070000
89,POUSIO,FALLOWING/ INTERCROPPING (INTERRUPTED CULTIVATEN TO MAKE SOIL MORE FERTILE),fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
262,SOBREIRO PARA PRODUÇÃO DE CORTIÇA,CORK OAK FOR CORK PRODUCTION,oak,3306060000,oak,3306060000
265,SUPERFÍCIE ARBUSTIVA NÃO PASTOREÁVEL,NON-PASTEABLE BUSHING SURFACE,wire_bush,3303080700,wire_bush,3303080700
5,AVEIA,OAT,oats,3301010500,oats,3301010500
161,MISTO CULTURAS PERMANENTES,MIXED PERMANENT CULTURES,unspecified_permanent_crops,3303120000,unspecified_permanent_crops,3303120000
162,POVOAMENTO DE SOBREIROS,CORK OAK PLANTATION,oak,3306060000,oak,3306060000
93,PERA,PEAR,pears,3303011200,pears,3303011200
103,BATATA,POTATO,potatoes,3301030000,potatoes,3301030000
167,POVOAMENTO OUTRAS FOLHOSAS,PLANTATION OF OTHER HARDWOODS,tree_wood_forest,3306000000,tree_wood_forest,3306000000
195,OUTRAS FRUTOS FRESCOS,OTHER FRESH FRUIT,orchards_fruits,3303010000,orchards_fruits,3303010000
109,AMENDOA,ALMOND,almond,3303030100,almond,3303030100
67,AZEVEM,ryegrass,lolium_ryegrass,3301090205,lolium_ryegrass,3301090205
105,MAÇÃ,APPLE,apples,3303010200,apples,3303010200
135,PINHÃO,PINE NUTS,nuts,3303030000,nuts,3303030000
3,CENTEIO,RYE,rye,3301010300,rye,3301010300
24,ARROZ,RICE,rice,3301010700,rice,3301010700
241,ABÓBORAS E ABOBORINHAS,PUMPKINS AND COURGETTES,pumpkin_squash_gourd,3301140400,pumpkin_squash_gourd,3301140400
,,PUMPKINS AND COURGETTES,zucchini_courgette,3301140600,zucchini_courgette,3301140600
96,LARANJA,ORANGE,citrus_plantations,3303040000,citrus_plantations,3303040000
1,TRIGO,WHEAT,common_soft_wheat,3301010100,common_soft_wheat,3301010100
106,CEREJA,CHERRY,cherry_cherries,3303010400,cherry_cherries,3303010400
112,NOZ,NUT,nuts,3303030000,nuts,3303030000
230,FEIJÃO,BEAN,beans,3301020100,beans,3301020100
168,POVOAMENTO DE PINHEIRO MANSO,PINE TREES PLANTATION,tree_wood_forest,3306000000,tree_wood_forest,3306000000
26,OUTROS CEREAIS,OTHER CEREALS,other_cereals,3301019900,other_cereals,3301019900
307,OUTRAS CULTURAS TEMPORÁRIAS,OTHER TEMPORARY CROPS,other_arable_land_crops,3301990000,other_arable_land_crops,3301990000
982,CABECEIRAS CULT. PERMANENTES - ÁREA ÚTIL,ELEGIBLE LANDSCAPE FEATRURES - PERMANENT CROPS HEADINGS,permanent_crops_perennial,3303000000,permanent_crops_perennial,3303000000
124,KIWI,KIWI,kiwi,3303010700,kiwi,3303010700
8,SORGO,SORGHUM,millet_sorghum,3301010900,millet_sorghum,3301010900
169,POVOAMENTO OUTRAS RESINOSAS,OTHER CONIFEROUS FORESTS,tree_wood_forest,3306000000,tree_wood_forest,3306000000
33,TOMATE,TOMATO,tomato,3301280000,tomato,3301280000
254,COUVE,GREEN CABBAGE,brassica_oleracea_cabbage,3301210200,brassica_oleracea_cabbage,3301210200
4,CEVADA,BARLEY,barley,3301010400,barley,3301010400
94,PÊSSEGO,PEACH,peach,3303011100,peach,3303011100
006;090,MILHO;OUTRAS HORTÍCOLAS,MAIZE; OTHER VEGETABLES,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
,,MAIZE; OTHER VEGETABLES,fresh_vegetables,3301070000,fresh_vegetables,3301070000
006;103,MILHO;BATATA,MAIZE; POTATOES,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
,,MAIZE; POTATOES,potatoes,3301030000,potatoes,3301030000
117,OUTROS PEQUENOS FRUTOS,OTHER SMALL FRUITS,orchards_fruits,3303010000,orchards_fruits,3303010000
163,POVOAMENTO AZINHEIRAS,EVERGREEN OAK PLANTATION,oak,3306060000,oak,3306060000
108,AMEIXA,PLUM,plums,3303011300,plums,3303011300
47,TREMOÇO,LUPINE,sweet_lupins,3301020700,sweet_lupins,3301020700
170,POVOAMENTO F MISTO,MIXED Forest,tree_wood_forest,3306000000,tree_wood_forest,3306000000
157,OUTROS CITRINOS,OTHER CITRUS FRUIT,citrus_plantations,3303040000,citrus_plantations,3303040000
7,TRITICALE,TRITICALE,triticale,3301010800,triticale,3301010800
240,TREMOCILHA,Lupinus luteus,sweet_lupins,3301020700,sweet_lupins,3301020700
210,POVOAMENTO DE EUCALIPTO,EUCALYPTUS PLANTATION,eucalyptus,3306050000,eucalyptus,3306050000
139,BOSQUETES,BOSKETTS,tree_wood_forest,3306000000,tree_wood_forest,3306000000
14,FAVA,BEAN,beans,3301020100,beans,3301020100
103;090,BATATA;OUTRAS HORTÍCOLAS,POTATOES; OTHER VEGETABLES,potatoes,3301030000,potatoes,3301030000
,,POTATOES; OTHER VEGETABLES,fresh_vegetables,3301070000,fresh_vegetables,3301070000
86,OUTROS FRUTOS SECOS,,orchards_fruits,3303010000,orchards_fruits,3303010000
233,NABO,TURNIP,turnips,3301290800,turnips,3301290800
174,OUTRAS SUPERFÍCIES FLORESTAIS,OTHER FOREST SURFACES,tree_wood_forest,3306000000,tree_wood_forest,3306000000
97,LIMÃO,LEMON,citrus_plantations,3303040000,citrus_plantations,3303040000
090;103,OUTRAS HORTÍCOLAS;BATATA,OTHER VEGETABLES; POTATOES,fresh_vegetables,3301070000,fresh_vegetables,3301070000
,,OTHER VEGETABLES; POTATOES,potatoes,3301030000,potatoes,3301030000
202,MIRTILO,BLUEBERRY,blueberry,3303020400,blueberry,3303020400
148,OUTRAS LEGUMINOSAS SECAS,OTHER DRIED VEGETABLES,fresh_vegetables,3301070000,fresh_vegetables,3301070000
249,CENOURA,CARROT,carrots_daucus,3301290300,carrots_daucus,3301290300
13,ERVILHA,PEA,peas,3301020600,peas,3301020600
85,FIGO,FIG,fig,3303010600,fig,3303010600
230;103,FEIJÃO;BATATA,BEANS; POTATOES,beans,3301020100,beans,3301020100
,,BEANS; POTATOES,potatoes,3301030000,potatoes,3301030000
006;230,MILHO;FEIJÃO,MAIZE; BEANS,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
,,MAIZE; BEANS,beans,3301020100,beans,3301020100
38,GRÃO DE BICO,CHICKPEA,chickpeas,3301020200,chickpeas,3301020200
248,CEBOLA,ONION,onions,3301220400,onions,3301220400
164,POVOAMENTO CARVALHO NEGRAL,BLACK OAK NEGRAL PLANTATION,oak,3306060000,oak,3306060000
44,LUZERNA,LUCERNE,alfalfa_lucerne,3301090301,alfalfa_lucerne,3301090301
116,AVELÃ,HAZELNUT,hazelnuts_hazel,3303030200,hazelnuts_hazel,3303030200
127,BATATA DOCE,SWEET POTATO,sweet_potatoes,3301040000,sweet_potatoes,3301040000
006;103;090,MILHO;BATATA;OUTRAS HORTÍCOLAS,MAIZE; POTATOES; OTHER VEGETABLES,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
,,MAIZE; POTATOES; OTHER VEGETABLES,potatoes,3301030000,potatoes,3301030000
,,MAIZE; POTATOES; OTHER VEGETABLES,fresh_vegetables,3301070000,fresh_vegetables,3301070000
17,GIRASSOL,SUNFLOWER,sunflower,3301060500,sunflower,3301060500
118,MARMELO,QUINCE,quinces,3303011500,quinces,3303011500
81,"PLANTAS AROM., MEDICINAIS E CONDIMENTARES",AROM. MEDICINAL AND CONDIMENTAL PLANTS,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,aromatic_medicinal_culinary_plants_spices_herbs,3301061200
285,FIGO DA INDIA,INDIA'S FIG,fig,3303010600,fig,3303010600
283,MEDRONHO,COMMON LAND PASTURE,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
006;267,MILHO;CONSOCIAÇÕES ANUAIS E OUTRAS CULT. FORRAG. ANUAIS,CORN; ANNUAL AND OTHER CULT. FORAGE ANNUALS,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
,,CORN; ANNUAL AND OTHER CULT. FORAGE ANNUALS,other_arable_land_crops,3301990000,other_arable_land_crops,3301990000
91,FLORES E PLANTAS ORNAMENTAIS,ORNAMENTAL FLOWERS AND PLANTS,flowers_ornamental_plants,3301080000,flowers_ornamental_plants,3301080000
006;090;103,MILHO;OUTRAS HORTÍCOLAS;BATATA,CORN; OTHER VEGETABLES; POTATO,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
,,CORN; OTHER VEGETABLES; POTATO,fresh_vegetables,3301070000,fresh_vegetables,3301070000
,,CORN; OTHER VEGETABLES; POTATO,potatoes,3301030000,potatoes,3301030000
241;006,ABÓBORAS E ABOBORINHAS;MILHO,PUMPKINS AND COURGETTES; CORN,pumpkin_squash_gourd,3301140400,pumpkin_squash_gourd,3301140400
,,PUMPKINS AND COURGETTES; CORN,zucchini_courgette,3301140600,zucchini_courgette,3301140600
