original_name,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code
Trvalý trávny porast,Permanent grassland,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
Pšenica ozimná,Winter wheat,winter_common_soft_wheat,3301010101,winter_common_soft_wheat,3301010101
Mezofilné  trvalé trávne porasty (typ B),Mesophilic permanent grassland (type B),pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
Kukurica,Sweet corn,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600
Pôda ležiaca úhorom,Fallow land,fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000
Trávy a iné rastlinné krmivá,Grasses and other vegetable fodder,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
Jačmeň jarný,Spring barley,spring_barley,3301010402,spring_barley,3301010402
Lucerna siata,Lucerne seed,alfalfa_lucerne,3301090301,alfalfa_lucerne,3301090301
Kapusta repková pravá - ozimná,Rapeseed - winter,winter_rapeseed_rape,3301060401,winter_rapeseed_rape,3301060401
Sója fazuľová,Soy beans,soy_soybeans,3301160000,soy_soybeans,3301160000
Slnečnica ročná,Annual sunflower,sunflower,3301060500,sunflower,3301060500
Zmiešaná plodina,Mixed crop,other_arable_land_crops,3301990000,other_arable_land_crops,3301990000
Pšenica jarná,Spring wheat,spring_common_soft_wheat,3301010102,spring_common_soft_wheat,3301010102
Jačmeň ozimný,Winter barley,winter_barley,3301010401,winter_barley,3301010401
Vinohrady,Vineyard,vineyards_wine_vine_rebland_grapes,3303060000,vineyards_wine_vine_rebland_grapes,3303060000
Kukurica na siláž,Corn for silage,green_silo_maize,3301090400,green_silo_maize,3301090400
Ovos siaty,Sown oats,oats,3301010500,oats,3301010500
Zemiaky konzumné (neskoré),Potatoes for consumption (late),potatoes,3301030000,potatoes,3301030000
Ďatelina lúčna,Meadow clover,clover,3301090303,clover,3301090303
Pšenica tvrdá,Durum wheat,durum_hard_wheat,3301010200,durum_hard_wheat,3301010200
Tritikale,Triticale,triticale,3301010800,triticale,3301010800
Raž siata,Rye seeds,rye,3301010300,rye,3301010300
Hrach siaty,Peas,peas,3301020600,peas,3301020600
Teplomilné a suchomilné trvalé trávne porasty (typ A),Thermophilic and drought-tolerant permanent grassland (type A),pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
Vlhkomilné porasty nižších polôh (typ D),Moisture-loving vegetation of lower positions (type D),pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
Zemiaky konzumné (skoré),Potatoes for consumption (early),potatoes,3301030000,potatoes,3301030000
Horčica biela,White mustard,mustard,3301210100,mustard,3301210100
Repa cukrová,Sugar beet,sugar_beet,3301290700,sugar_beet,3301290700
Ovocné sady,Fruit sets,orchards_fruits,3303010000,orchards_fruits,3303010000
"Vlhkomilné porasty vyšších polôh, slatinné a bezkolencové lúky (typ F)","Moor grasslands of higher altitudes, marshy and kneeless meadows (type F)",pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000
Zelenina a iné záhradné plodiny voľne pestované,Vegetables and other horticultural crops,fresh_vegetables,3301070000,fresh_vegetables,3301070000
Facélia vratičolistá,Phacelia wobbly-leaved,phacelia,3301061400,phacelia,3301061400
Jabloň domáca,Domestic apple tree,apples,3303010200,apples,3303010200
Ostropestrec mariánsky,Marian thistle,marian_thistles,3301061300,marian_thistles,3301061300
Cirok,Sorghum,millet_sorghum,3301010900,millet_sorghum,3301010900
Proso,Millet,millet_sorghum,3301010900,millet_sorghum,3301010900
