HCAT3_name,HCAT3_code,HCAT_name,HCAT_code
characteristics,3000000000,characteristics,30000000
crop_type,3300000000,crop_type,33000000
arable_crops,3301000000,arable_crops,33100000
cereal,3301010000,cereals_for_the_production_of_grain,33101000
common_soft_wheat,3301010100,common_wheat_and_spelt,33101010
winter_common_soft_wheat,3301010101,common_wheat_and_spelt,33101010
spring_common_soft_wheat,3301010102,common_wheat_and_spelt,33101010
durum_hard_wheat,3301010200,durum_wheat,33101020
winter_durum_hard_wheat,3301010201,durum_wheat,33101020
spring_durum_hard_wheat,3301010202,durum_wheat,33101020
rye,3301010300,rye,33101030
winter_rye,3301010301,rye,33101030
spring_rye,3301010302,rye,33101030
barley,3301010400,barley,33101040
winter_barley,3301010401,barley,33101040
spring_barley,3301010402,barley,33101040
oats,3301010500,oats,33101050
winter_oats,3301010501,oats,33101050
spring_oats,3301010502,oats,33101050
grain_maize_corn_popcorn,3301010600,grain_maize,33101060
rice,3301010700,rice,33101090
triticale,3301010800,triticale,33101070
winter_triticale,3301010801,triticale,33101070
spring_triticale,3301010802,triticale,33101070
millet_sorghum,3301010900,millet,33101080
winter_millet_sorghum,3301010901,millet,33101080
spring_millet_sorghum,3301010902,millet,33101080
teff,3301010904,millet,33101080
spelt,3301011000,cereals_for_the_production_of_grain,33101000
winter_spelt,3301011001,cereals_for_the_production_of_grain,33101000
spring_spelt,3301011002,cereals_for_the_production_of_grain,33101000
meslin,3301011100,cereals_for_the_production_of_grain,33101000
winter_meslin,3301011101,cereals_for_the_production_of_grain,33101000
spring_meslin,3301011102,cereals_for_the_production_of_grain,33101000
emmer,3301011200,cereals_for_the_production_of_grain,33101000
winter_emmer,3301011201,cereals_for_the_production_of_grain,33101000
spring_emmer,3301011202,cereals_for_the_production_of_grain,33101000
einkorn,3301011300,cereals_for_the_production_of_grain,33101000
winter_einkorn,3301011301,cereals_for_the_production_of_grain,33101000
spring_einkorn,3301011302,cereals_for_the_production_of_grain,33101000
canary_seed_canaryseed,3301011400,cereals_for_the_production_of_grain,33101000
unspecified_cereals,3301011500,cereals_for_the_production_of_grain,33101000
winter_unspecified_cereals,3301011501,cereals_for_the_production_of_grain,33101000
spring_unspecified_cereals,3301011502,cereals_for_the_production_of_grain,33101000
summer_unspecified_cereals,3301011503,cereals_for_the_production_of_grain,33101000
other_cereals,3301019900,cereals_for_the_production_of_grain,33101000
legumes_dried_pulses_protein_crops,3301020000,dried_pulses_and_protein_crops_for_the_production_of_grain,33102000
beans,3301020100,dried_pulses_and_protein_crops_for_the_production_of_grain,33102000
chickpeas,3301020200,dried_pulses_and_protein_crops_for_the_production_of_grain,33102000
esparsette_onobrychis,3301020300,dried_pulses_and_protein_crops_for_the_production_of_grain,33102000
fenugreek,3301020400,dried_pulses_and_protein_crops_for_the_production_of_grain,33102000
lentils,3301020500,dried_pulses_and_protein_crops_for_the_production_of_grain,33102000
peas,3301020600,dried_pulses_and_protein_crops_for_the_production_of_grain,33102000
sweet_lupins,3301020700,dried_pulses_and_protein_crops_for_the_production_of_grain,33102000
other_dry_pulses,3301029900,dried_pulses_and_protein_crops_for_the_production_of_grain,40102000
potatoes,3301030000,potatoes,33103000
sweet_potatoes,3301040000,arable_crops,33100000
fodder_roots,3301050000,fodder_roots_brassicas,33105000
industrial_nonfood_crops,3301060000,industrial_crops,33106000
tobacco,3301060100,tobacco,33106010
hops,3301060200,hops,33106020
cotton,3301060300,cotton,33106030
rapeseed_rape,3301060400,rape_and_turnip_rape,33106040
winter_rapeseed_rape,3301060401,rape_and_turnip_rape,33106040
spring_rapeseed_rape,3301060402,rape_and_turnip_rape,33106040
summer_rapeseed_rape,3301060403,rape_and_turnip_rape,33106040
sunflower,3301060500,sunflower_and_yellow_bloomer,33106050
poppy,3301060600,industrial_nonfood_crops,33106000
winter_poppy,3301060601,industrial_nonfood_crops,33106000
summer_poppy,3301060602,industrial_nonfood_crops,33106000
flax_linseed,3301060700,flax,33106090
flax_linen,3301060701,flax,33106090
flax_linseed_oil,3301060702,linseed_oil_flax,33106070
oilseed_crops,3301060800,other_oil_seed_crops,33106080
guizotia_abyssinica_nyger,3301060900,industrial_crops,33106000
hemp_cannabis,3301061000,hemp,33106100
finola,3301061001,hemp,33106100
fibre_crops,3301061100,other_fibre_crops,33106110
aromatic_medicinal_culinary_plants_spices_herbs,3301061200,aromatic_plants_medicinal_culinary_plants,33106120
actaea_baneberry_christopher_herbs,3301061201,aromatic_plants_medicinal_culinary_plants,33106120
alchemilla_ladys_mantle,3301061202,aromatic_plants_medicinal_culinary_plants,33106120
anethum_dill,3301061203,aromatic_plants_medicinal_culinary_plants,33106120
angelica,3301061204,aromatic_plants_medicinal_culinary_plants,33106120
anise_aniseed,3301061205,aromatic_plants_medicinal_culinary_plants,33106120
